id,term,ontoid,ontolabel,characterr,characterstate,source
18,acetabular,,,character,"ilium , acetabular antitrochanter :",earlyevolutionofarchosaurs-1.xml_e93c694e-966b-4112-a9b6-042273fe45a7.txt-0
19,acetabular,,,description,"expanded dorsally , height markedly taller than the dorsal portion of the supra_acetabular rim to the pubis_ischium contact",earlyevolutionofarchosaurs-1.xml_fd9730b8-6f1b-48cd-9f40-f422db999609_0161d637-7966-4239-ad05-b0fd1ff3fd79.txt-0
20,acetabular,,,description,"height about the same or shorter than the distance from the dorsal portion of the supra_acetabular rim to the pubis_ischium contact",earlyevolutionofarchosaurs-1.xml_fd9730b8-6f1b-48cd-9f40-f422db999609_51498efb-2cb7-4ef6-9739-8eb3fdec7836.txt-0
21,acetabulum,UBERON:0001269;,"acetabular part of hip bone;",description,"long and extends anterior to the acetabulum but shorter than the posterior process of the ilium",earlyevolutionofarchosaurs-1.xml_1acc5962-b11e-484d-a904-3f7f417b3360_2970eebd-33ad-488f-8a7a-5648aa625dd3.txt-0
22,acetabulum,UBERON:0001269;,"acetabular part of hip bone;",description,"short and does not extend anterior to the acetabulum",earlyevolutionofarchosaurs-1.xml_1acc5962-b11e-484d-a904-3f7f417b3360_e3c21496-fa90-479b-a3ac-70fc920b7e2a.txt-0
23,acetabulum,UBERON:0001269;,"acetabular part of hip bone;",character,"ilium , ventral margin of the acetabulum :",earlyevolutionofarchosaurs-1.xml_70413ade-dcf4-4258-9d6d-b6a7844a20bc.txt-0
24,acromion,UBERON:0002497;,acromion;,character,"scapula , acromion process :",earlyevolutionofarchosaurs-1.xml_70766495-b97a-4e34-97a1-d70fd9635f05.txt-0
25,adductor,UBERON:2000463;,adductor;,character,"adductor crest",Swartz_2012.xml_0fb9bf51-9ec3-4725-b925-1da37a2b203f.txt-0
26,adductor,UBERON:2000463;,adductor;,description,"peak anterior to adductor fossa , dorsal margin of fossa concave",Swartz_2012.xml_0fb9bf51-9ec3-4725-b925-1da37a2b203f_0480fcd2-41be-45f3-9681-17adcf8ce81d.txt-0
27,adductor,UBERON:2000463;,adductor;,description,"peak above anterior part of adductor fossa , dorsal margin of fossa convex",Swartz_2012.xml_0fb9bf51-9ec3-4725-b925-1da37a2b203f_6ba3dcc4-cbe6-457a-9b0f-1418614c2349.txt-0
28,adductor,UBERON:2000463;,adductor;,character,"prearticular with mesially projecting flange on dorsal edge along posterior border of adductor fossa",Swartz_2012.xml_3f0fd2a4-61aa-445d-ab5e-7fae95af5713.txt-0
29,adult,UBERON:0007023;,"adult organism;",character,"parietals , in presumed adults :",earlyevolutionofarchosaurs-1.xml_3ebc9476-42ce-4c7c-b320-a0967caa6f72.txt-0
30,anal,,,character,"dorsal and anal fins",Swartz_2012.xml_f9f45736-c419-44bf-812e-3e40fc57dfb9.txt-0
31,angle,,,character,"femur , angle between the lateral condyle and the crista tibiofibularis in distal view :",earlyevolutionofarchosaurs-1.xml_b4a17753-56fb-4dc6-aa14-7b1615f9646c.txt-0
32,angle,,,description,"about a right angle",earlyevolutionofarchosaurs-1.xml_b4a17753-56fb-4dc6-aa14-7b1615f9646c_be1c92de-eff9-4f09-9267-9e472d985e8e.txt-0
33,angle,,,description,"symmetrical , with distal and proximal margins forming similar low_angle slopes to the shaft",earlyevolutionofarchosaurs-1.xml_cf816dfb-067a-4ba9-8d95-d6d9ffb88e74_3cd2d93b-7652-48c7-b8c2-41844c23e2de.txt-0
34,angle,,,description,"asymmetrical , with distal margin forming a steeper angle to the shaft",earlyevolutionofarchosaurs-1.xml_cf816dfb-067a-4ba9-8d95-d6d9ffb88e74_99d79256-50fc-4bbc-b312-a54953d32995.txt-0
35,angle,,,description,"abrupt change in angle between the proximal end and the shaft",earlyevolutionofarchosaurs-1.xml_e01cf61d-bad7-4913-bbc4-5db4a5d3d48c_08ef233c-fee0-4b04-9f5d-76a0c0204d25.txt-0
36,ankle,UBERON:0004454;,"tarsal region;",description,"metatarsals diverging from ankle",earlyevolutionofarchosaurs-1.xml_42ce6be6-a2f1-4c70-b857-f8cc8866b671_f4915c9d-3432-494c-a834-9af1dfa91f07.txt-0
37,anocleithrum,UBERON:4000160;,anocleithrum;,character,anocleithrum,Swartz_2012.xml_3b84a488-7241-4841-98fd-8cb1c5167309.txt-0
38,anocleithrum,UBERON:4000160;,anocleithrum;,character,anocleithrum,Swartz_2012.xml_3e388885-2440-479a-9ae3-5a2782cd25db.txt-0
39,antimere,,,character,"ischium , medial contact with antimere :",earlyevolutionofarchosaurs-1.xml_a3953120-8d53-48ef-b500-61e1ee7ac623.txt-0
40,antitrochanter,,,character,"ilium , acetabular antitrochanter :",earlyevolutionofarchosaurs-1.xml_e93c694e-966b-4112-a9b6-042273fe45a7.txt-0
41,antotica,,,character,"pila antotica :",earlyevolutionofarchosaurs-1.xml_c3e5f6c4-1f16-43ea-adfa-7704a5855f8f.txt-0
42,apex,,,character,"humerus , apex of deltopectoral crest situated at a point corresponding to :",earlyevolutionofarchosaurs-1.xml_dc8b3c59-235c-432d-a291-a09d48ccaa7a.txt-0
43,apex,,,description,"blade_like with a distinct asymmetric apex located medially",earlyevolutionofarchosaurs-1.xml_eb0b7476-81c6-4ef8-925c-8136b096fa26_87701746-d9b2-4ce1-883d-89dd20a19e09.txt-0
44,apex,,,description,"low on the proximal portion of the femur and without a distinct medial asymmetrical apex",earlyevolutionofarchosaurs-1.xml_eb0b7476-81c6-4ef8-925c-8136b096fa26_d96f76f8-0294-44e3-bff2-c38a87d60920.txt-0
45,apex,,,description,"triangular apex caudal",Anderson_2007.xml_bdaf721e-f0d6-4463-84bd-56f02a395202_47300f83-181a-4587-918f-71e278ef3d80.txt-0
46,appendage,UBERON:0000026;,appendage;,character,"osteoderms , covering the appendages , at least in part :",earlyevolutionofarchosaurs-1.xml_2b724b07-73ec-424c-84a5-2c7c4bc4e34a.txt-0
47,appendage,UBERON:0000026;,appendage;,character,"lepidotrichia in paired appendages",Swartz_2012.xml_9edb1ab4-99fa-4534-9d4f-914516dcc0e5.txt-0
48,apron,,,character,"pubis , pubic apron , proximal portion :",earlyevolutionofarchosaurs-1.xml_3065a5fb-0992-403a-b5fd-f27127b65951.txt-0
49,apron,,,description,"similar anteroposterior thickness as the rest of the pubic apron",earlyevolutionofarchosaurs-1.xml_3065a5fb-0992-403a-b5fd-f27127b65951_ca1c594a-774d-4954-8cb5-5f86dd3b08c7.txt-0
50,arch,,,character,"cervical vertebrae , deep recesses on the anterior face of the neural arch , lateral to the neural canal :",earlyevolutionofarchosaurs-1.xml_8ca51e38-30de-4524-88f7-6f1ed0550241.txt-0
51,arch,,,character,"atlas neural arch",Anderson_2007.xml_2c988789-d1a4-44f8-95e6-f663bd7246a6.txt-0
52,arch,,,description,"on arch pedicle",Anderson_2007.xml_3d3c06ef-9a0e-4455-83ec-7ef5289ba249_f45a2de1-f4c8-45b9-8903-99d4a31ee1c8.txt-0
53,arch,,,character,"hemal arch shape",Anderson_2007.xml_5f4e613c-2043-4031-9d1b-9c7567c80355.txt-0
54,arch,,,character,"second cervical arch to more posterior",Anderson_2007.xml_666ba1fb-c516-469c-9dce-3b39c63a0809.txt-0
55,arch,,,character,"atlas neural arch",Anderson_2007.xml_864af025-1ed3-4d69-b4a5-945f4b7c0398.txt-0
56,arch,,,character,"trunk neural arch to centrum",Anderson_2007.xml_ddd0eb60-4e5e-481c-8eca-7079b0c9bfeb.txt-0
57,arche,,,character,"hemal arche to neural spine length",Anderson_2007.xml_09d4faa1-b631-4869-b2a0-211f1e5440b2.txt-0
58,arch,,,character,"trunk arches",Anderson_2007.xml_237a6a36-9d67-4192-a67f-e005818db4f2.txt-0
59,arch,,,character,"hemal arches",Anderson_2007.xml_5a3a4f40-28b8-4138-a709-fda37d86fb7b.txt-0
60,arch,,,description,"centra and arches",Anderson_2007.xml_e850814c-fcfd-4a00-9f39-09e5d19b5797_230056b4-0120-4477-b564-e5e8a4c6f84d.txt-0
61,arch,,,description,"arches , then centra",Anderson_2007.xml_e850814c-fcfd-4a00-9f39-09e5d19b5797_5708d626-3f67-45f5-bd85-77394d600c08.txt-0
62,arch,,,character,"hemal arches",Anderson_2007.xml_fbe2832c-d532-4aa0-a9ad-81dad08f5bf4.txt-0
63,archipterygial,,,character,"archipterygial pectoral fin",Swartz_2012.xml_b009e859-542e-4369-8d8c-182a35330271.txt-0
64,area,,,character,"ventral carapace in the trunk area :",earlyevolutionofarchosaurs-1.xml_19ba05e5-b06c-46e4-874d-90dbbd23087a.txt-0
65,area,,,description,"broad , flat area",earlyevolutionofarchosaurs-1.xml_7b998d9c-4587-4396-90eb-9acbf3cd1378_bb6ce496-cc75-41b7-a8be-362f555db0d0.txt-0
66,area,,,description,"oblong with distinct anterior overlap area",Swartz_2012.xml_3e388885-2440-479a-9ae3-5a2782cd25db_31d5e396-847d-4209-9a9c-cd0b7d2848e6.txt-0
67,area,,,description,"drop_shaped with no anterior overlap area",Swartz_2012.xml_3e388885-2440-479a-9ae3-5a2782cd25db_5b7b8272-5214-4b93-819b-299fcd2656f3.txt-0
68,area,,,character,"area proximal to radial facet",Swartz_2012.xml_773da7c4-2768-40e8-a295-33d5026d87b4.txt-0
69,area,,,description,"enlarged , sharp leading edge , with areas for muscle attachments",Swartz_2012.xml_773da7c4-2768-40e8-a295-33d5026d87b4_d824515e-55cd-4638-b60c-c6e895c520da.txt-0
70,armour,,,description,"ventral armour of gastralia",Swartz_2012.xml_bbdb1310-b5aa-4bfe-89ca-7118141cfe56_84fc2302-e961-4946-bddb-e64deece75b2.txt-0
71,artery,TAO:0000005,artery,character,"parabasisphenoid , foramina for entrance of cerebral branches of internal carotid artery into the braincase positioned on the surface :",earlyevolutionofarchosaurs-1.xml_1183556d-ce2a-4f7c-bc4a-5894a88284b6.txt-0
72,articulation,UBERON:0004905;,articulation;,character,"metatarsal iv , distal articulation surface :",earlyevolutionofarchosaurs-1.xml_33570ac8-40ba-4a82-b9db-351571187ba2.txt-0
73,articulation,UBERON:0004905;,articulation;,character,"atlantal articulation facet in axial intercentrum , shape :",earlyevolutionofarchosaurs-1.xml_84870b20-88fc-4c60-b6ec-eb249d244e06.txt-0
74,articulation,UBERON:0004905;,articulation;,character,"astragalus_calcaneum , articulation :",earlyevolutionofarchosaurs-1.xml_af313b38-c4d7-4686-bd64-d6a6986ed7eb.txt-0
75,articulation,UBERON:0004905;,articulation;,character,"pterygoid_ectopterygoid , articulation :",earlyevolutionofarchosaurs-1.xml_def96238-ffe7-4786-b055-b63d9d8d5040.txt-0
76,articulation,UBERON:0004905;,articulation;,character,"articulation to tooth row",Anderson_2007.xml_1a56adb2-3869-41ea-9417-ce9a510f5d23.txt-0
77,articulation,UBERON:0004905;,articulation;,character,"basicranial articulation",Anderson_2007.xml_69fe1095-e6d0-4014-b929-5ab72e2f34d5.txt-0
78,articulation,UBERON:0004905;,articulation;,character,"atlas accessory articulation",Anderson_2007.xml_94a364d0-93f3-463d-81e2-59079fa4cf9f.txt-0
79,articulation,UBERON:0004905;,articulation;,character,"lacrimal_prefrontal articulation",Anderson_2007.xml_9f7a090c-5ed0-46ab-a774-46ccf3e5f0c6.txt-0
80,articulation,UBERON:0004905;,articulation;,character,"jaw articulation",Anderson_2007.xml_da34993a-fc72-412f-9308-f0c79b27960c.txt-0
81,articulation,UBERON:0004905;,articulation;,character,"squamosal_temporal articulation",Anderson_2007.xml_f3b20210-9079-4403-b738-59eeba5e3445.txt-0
82,articulation,UBERON:0004905;,articulation;,character,"parasphenoid vomer articulation",Anderson_2007.xml_fbc7a78b-63b2-4449-80be-b347d8acc16e.txt-0
83,articulation,UBERON:0004905;,articulation;,description,"extends dorsal to ethmoid articulation in posterior view",Swartz_2012.xml_c2236f39-05a8-45fe-85ad-ab474664d2ef_008d33dd-fc43-47ea-8bf9-ea23023a93fe.txt-0
84,articulation,UBERON:0004905;,articulation;,description,"ventral to ethmoid articulation in posterior view",Swartz_2012.xml_c2236f39-05a8-45fe-85ad-ab474664d2ef_caeae9a6-21d7-4326-8c82-d79d3fcdb332.txt-0
85,articulation,UBERON:0004905;,articulation;,character,"astragalus , tibial and fibular articulations :",earlyevolutionofarchosaurs-1.xml_a6820dd8-35f8-4cf7-8746-aa82c6cfde35.txt-0
86,articulation,UBERON:0004905;,articulation;,description,"posterior cervical and / or dorsal vertebrae , hyposphene_hypantrum accessory intervertebral articulations :",earlyevolutionofarchosaurs-1.xml_ba926a3f-3a58-44d1-87a9-6d35f1f947b3_4fa26e43-6af0-4aff-8b3b-e91678affd3e.txt-0
87,articulation,UBERON:0004905;,articulation;,character,"hemal accessory articulations",Anderson_2007.xml_61c6c2e1-3cb6-4bee-bd86-b0ad263d824a.txt-0
88,articulation,UBERON:0004905;,articulation;,character,"number of accessory vertebral articulations",Anderson_2007.xml_a6a2a3a4-75a0-4a47-8d6e-c6e1ae0bb4be.txt-0
89,articulation,UBERON:0004905;,articulation;,character,"articulations for more than two radials on ulnare",Swartz_2012.xml_66b1bbcc-0f81-456f-a445-a5645a9e5e3b.txt-0
90,ascenden,,,description,"anterior end level with processus ascendens",Swartz_2012.xml_0de814f9-bf10-4a16-90fc-d9d9ad8c8869_1f411369-561c-4d0e-bba6-0feebc4ce705.txt-0
91,ascenden,,,description,"anterior end considerably anterior to processus ascendens",Swartz_2012.xml_0de814f9-bf10-4a16-90fc-d9d9ad8c8869_f9c8dded-823a-428d-aa92-793ce60ed65b.txt-0
92,astragalo-calaneal,,,character,"astragalus_calcaneum , ossified astragalo_calaneal canal :",earlyevolutionofarchosaurs-1.xml_2e2afb21-a467-4056-ad6f-81f0302f8d70.txt-0
93,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , anterior ascending flange :",earlyevolutionofarchosaurs-1.xml_066f022f-e865-4628-b2d3-250d48afb5a0.txt-0
94,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,description,"present and less than the height of the dorsoventral height of the posterior side of the astragalus",earlyevolutionofarchosaurs-1.xml_066f022f-e865-4628-b2d3-250d48afb5a0_20bcd2ba-b57a-4024-ad2c-984b93dcb3e4.txt-0
95,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,description,"present and greater than the height of the dorsoventral height of the posterior side astragalus",earlyevolutionofarchosaurs-1.xml_066f022f-e865-4628-b2d3-250d48afb5a0_b8494518-122b-4ceb-8467-24cd4758b951.txt-0
96,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , anteromedial corner shape :",earlyevolutionofarchosaurs-1.xml_09ff6162-166e-46ee-986f-eeddf28e7991.txt-0
97,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , proximal surface :",earlyevolutionofarchosaurs-1.xml_12ea4929-7ced-469b-8a1e-ffaaf5fed336.txt-0
98,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus_calcaneum , ossified astragalo_calaneal canal :",earlyevolutionofarchosaurs-1.xml_2e2afb21-a467-4056-ad6f-81f0302f8d70.txt-0
99,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , anterior hollow :",earlyevolutionofarchosaurs-1.xml_6fa5ee79-b917-4392-9cce-307322bfcf5e.txt-0
100,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus_calcaneum , ventral articular surface :",earlyevolutionofarchosaurs-1.xml_7c565703-8351-4065-8744-6b525225a27b.txt-0
101,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,description,"concavoconvex with concavity on astragalus",earlyevolutionofarchosaurs-1.xml_7c565703-8351-4065-8744-6b525225a27b_62258c93-9ccc-44a7-8ed6-d0f98d7d2704.txt-0
102,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"articular facet for the astragalus of the calcaneum lies :",earlyevolutionofarchosaurs-1.xml_8369cde3-0ead-4d99-a64b-53c625b9444d.txt-0
103,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , tibial articular surface :",earlyevolutionofarchosaurs-1.xml_885f6302-c064-485b-8e7c-60eccd684349.txt-0
104,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,description,"banked with an articular facet that articulates with the astragalus",earlyevolutionofarchosaurs-1.xml_a5a453e5-44f2-49fd-9589-86350537ba74_c2d56f32-4f79-4473-834b-61c21fd55c27.txt-0
105,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , tibial and fibular articulations :",earlyevolutionofarchosaurs-1.xml_a6820dd8-35f8-4cf7-8746-aa82c6cfde35.txt-0
106,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus_calcaneum , articulation :",earlyevolutionofarchosaurs-1.xml_af313b38-c4d7-4686-bd64-d6a6986ed7eb.txt-0
107,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"calcaneum , articular facets for the fibula and astragalus :",earlyevolutionofarchosaurs-1.xml_b3e705c6-0494-43c9-839a-3e3054c3c3cc.txt-0
108,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , ridge separating the tibial facet from the posterior edge :",earlyevolutionofarchosaurs-1.xml_d4df0c21-a738-49c7-b1ac-7dae85a325dd.txt-0
109,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , dorsolateral margin :",earlyevolutionofarchosaurs-1.xml_d7e277b0-c1ca-458d-8934-bb79ef9f9270.txt-0
110,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,description,"the posterior corner of the dorsolateral margin of the astragalus dorsally overlaps the calcaneum much more than the anterior portion",earlyevolutionofarchosaurs-1.xml_d7e277b0-c1ca-458d-8934-bb79ef9f9270_aebc87c6-ac7b-4521-9956-5b999295c161.txt-0
111,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , proximal articular facet for fibula occupies :",earlyevolutionofarchosaurs-1.xml_d8043d6f-03f6-4cef-8fd7-491bd8852b0d.txt-0
112,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , tibial facet :",earlyevolutionofarchosaurs-1.xml_de96d4d4-8b9a-4fab-9718-ce3eef824e20.txt-0
113,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , articular surface for the calcaneum :",earlyevolutionofarchosaurs-1.xml_f382870b-30fd-4f48-9ae0-741dfeff1d21.txt-0
114,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,description,"stretches from fibular facet of the astragalus to the ventral margin",earlyevolutionofarchosaurs-1.xml_f382870b-30fd-4f48-9ae0-741dfeff1d21_4b69f3bf-07d1-496d-8a48-2e93e6dc4c16.txt-0
115,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , dorsally expanded process on the posterolateral portion of the tibial facet :",earlyevolutionofarchosaurs-1.xml_fa08fcf8-1b99-42f0-9975-6771f9d8b51f.txt-0
116,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,"astragalus , posterior groove :",earlyevolutionofarchosaurs-1.xml_fbba1106-5d70-42ef-a85c-243e8f2788d7.txt-0
117,astragalus,UBERON:0001450;UBERON:0002395;,calcaneus;talus;,character,astragalus,Anderson_2007.xml_c7dd1928-639e-46d0-8c74-a042b81e4e23.txt-0
118,astragalus-calcaneum,,,character,"astragalus_calcaneum , ossified astragalo_calaneal canal :",earlyevolutionofarchosaurs-1.xml_2e2afb21-a467-4056-ad6f-81f0302f8d70.txt-0
119,astragalus-calcaneum,,,character,"astragalus_calcaneum , ventral articular surface :",earlyevolutionofarchosaurs-1.xml_7c565703-8351-4065-8744-6b525225a27b.txt-0
120,astragalus-calcaneum,,,character,"astragalus_calcaneum , articulation :",earlyevolutionofarchosaurs-1.xml_af313b38-c4d7-4686-bd64-d6a6986ed7eb.txt-0
121,atlantal,,,character,"atlantal articulation facet in axial intercentrum , shape :",earlyevolutionofarchosaurs-1.xml_84870b20-88fc-4c60-b6ec-eb249d244e06.txt-0
122,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas neural arch",Anderson_2007.xml_2c988789-d1a4-44f8-95e6-f663bd7246a6.txt-0
123,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas ribs",Anderson_2007.xml_3b6b34ae-da4a-4f4d-9242-b49008e5c813.txt-0
124,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas centrum",Anderson_2007.xml_58ee3837-cf92-4ac6-a9b9-e2c2f969cefc.txt-0
125,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas axis intercentra",Anderson_2007.xml_5daf832a-6ffd-4da8-bca9-183194bce1b7.txt-0
126,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas neural arch",Anderson_2007.xml_864af025-1ed3-4d69-b4a5-945f4b7c0398.txt-0
127,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas accessory articulation",Anderson_2007.xml_94a364d0-93f3-463d-81e2-59079fa4cf9f.txt-0
128,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas parapophyses",Anderson_2007.xml_e35a7334-1f36-4a59-8a84-67b8b1b79b0d.txt-0
129,atlas,UBERON:0001092;,"first cervical vertebra;",character,"atlas anterior centrum",Anderson_2007.xml_f6f15bb4-64db-44e7-80fe-8415ecd3fb07.txt-0
130,attachment,,,character,"fibula , attachment site for the m . iliofibularis , form :",earlyevolutionofarchosaurs-1.xml_28d87c0d-7203-442f-a78d-d416324d32ac.txt-0
131,attachment,,,character,"ilium , distinct fossa present for the attachment of the m caudifemoralis brevis :",earlyevolutionofarchosaurs-1.xml_97246c85-320c-4b7a-b7c3-03375ef05847.txt-0
132,attachment,,,description,"teeth fused to the bone of attachment at the base",earlyevolutionofarchosaurs-1.xml_aff70e36-fd23-4f9b-a493-8b3645a9fdce_4be931d0-93c0-4774-b56c-9e2cd96adbcb.txt-0
133,attachment,,,description,"absent , no distinct ridge for the attachment of the m . caudifemoralis",earlyevolutionofarchosaurs-1.xml_b5c2ef90-f358-4d2c-8bac-1784bf98e0ab_598d65c4-f12d-48f5-ba73-b49baa7e394e.txt-0
134,attachment,,,character,"fibula , attachment site for the m . iliofibularis , location :",earlyevolutionofarchosaurs-1.xml_e72eb395-777d-4c1d-b2ee-66837878c1ad.txt-0
135,attachment,,,character,"femur , ridge of attachment of the m . caudifemoralis :",earlyevolutionofarchosaurs-1.xml_eb0b7476-81c6-4ef8-925c-8136b096fa26.txt-0
136,attachment,,,description,"enlarged , sharp leading edge , with areas for muscle attachments",Swartz_2012.xml_773da7c4-2768-40e8-a295-33d5026d87b4_d824515e-55cd-4638-b60c-c6e895c520da.txt-0
137,auricular,,,character,"auricular recess :",earlyevolutionofarchosaurs-1.xml_24eea55f-5f17-4871-b068-df16d58539cb.txt-0
138,axis,UBERON:2000092;,axis;,description,"absent , and articular face for distal tarsal 4 subparallel to shaft axis",earlyevolutionofarchosaurs-1.xml_1d83e1f9-ea93-4238-901e-6236dc9af4b8_7fd599ab-622f-4ae8-a415-a766758ed8f0.txt-0
139,axis,UBERON:2000092;,axis;,character,"jugal , long axis of the body :",earlyevolutionofarchosaurs-1.xml_5cd122a2-9c69-4f1d-a9c8-0a0a54b4e0cb.txt-0
140,axis,UBERON:2000092;,axis;,description,"subequal to the axis centrum",earlyevolutionofarchosaurs-1.xml_618618af-cc8a-4ed0-864c-d6ffbffb0473_892cb6f8-ae1f-469c-aaea-73717e7cd06c.txt-0
141,axis,UBERON:2000092;,axis;,description,"longer than the axis centrum",earlyevolutionofarchosaurs-1.xml_618618af-cc8a-4ed0-864c-d6ffbffb0473_f3643fa8-d6d8-4172-8423-ae88e539d15a.txt-0
142,axis,UBERON:2000092;,axis;,character,"axis , dorsal margin of the neural spine :",earlyevolutionofarchosaurs-1.xml_ab9ba1a0-a8ac-43c6-b27c-9bd6a5797283.txt-0
143,axis,UBERON:2000092;,axis;,character,"axis , ventral surface :",earlyevolutionofarchosaurs-1.xml_ebfe4b7a-58f7-439b-93c5-986fbb3cde23.txt-0
144,axis,UBERON:2000092;,axis;,character,"atlas axis intercentra",Anderson_2007.xml_5daf832a-6ffd-4da8-bca9-183194bce1b7.txt-0
145,back,UBERON:0001137;,dorsum;,description,"backs metatarsals ii and iv posteroventrally , resulting in a t_shaped proximal profile",earlyevolutionofarchosaurs-1.xml_d107a7db-1608-4c0f-b272-f4b067f68939_ff10045c-d08d-4351-9ae8-6d89be9d283c.txt-0
