"source","characterid","stateid","description","entity","entitylabel","entityid","quality","qualitylabel","qualityid","qualitynegated","qualitynegatedlabel","qnparentlabel","qnparentid","qualitymodifier","qualitymodifierlabel","qualitymodifierid","entitylocator","entitylocatorlabel","entitylocatorid","countt"
"Swartz 2012.xml_states262.xml","states262","state264","long sutured to coronoid denticulated or with tooth row","coronoid","coronoid","UBERON:3000103","denticulated","","","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state264","long sutured to coronoid denticulated or with tooth row","coronoid","coronoid","UBERON:3000103","with tooth row","","","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state264","long sutured to coronoid denticulated or with tooth row","parasymphysial plate","","","long","size","PATO:0000117","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state264","long sutured to coronoid denticulated or with tooth row","parasymphysial plate","","","sutured","","","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state265","short not sutured to coronid denticulated","coronid","","","denticulated","","","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state265","short not sutured to coronid denticulated","parasymphysial plate","","","not short","","","not short","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state265","short not sutured to coronid denticulated","parasymphysial plate","","","sutured","","","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state266","carrying tooth whorl","parasymphysial plate","","","carrying","","","","","","","tooth whorl","calcareous tooth","UBERON:0001091","","","",""
"Swartz 2012.xml_states267.xml","states267","state269","Carrying a tooth whorl","parasymphysial plate dentition","dentition","UBERON:0003672","carrying","","","","","","","tooth whorl","calcareous tooth","UBERON:0001091","","","",""
"Swartz 2012.xml_states267.xml","states267","state270","shagreen or irregular tooth field","tooth field","anlage","UBERON:0007688","irregular","","","","","","","","","","","calcareous tooth","UBERON:0001091",""
"Swartz 2012.xml_states267.xml","states267","state270","shagreen or irregular tooth field","parasymphysial plate dentition","dentition","UBERON:0003672","shagreen","","","","","","","","","","","","",""
"Swartz 2012.xml_states267.xml","states267","state270","shagreen or irregular tooth field","parasymphysial plate dentition","dentition","UBERON:0003672","irregular tooth field","","","","","","","","","","","","",""
"Swartz 2012.xml_states267.xml","states267","state271","organised dentition aligned parallel to jaw margin","dentition","dentition","UBERON:0003672","aligned parallel to","","","","","","","jaw margin","anatomical margin","BSPO:0000006","","","",""
"Swartz 2012.xml_states267.xml","states267","state271","organised dentition aligned parallel to jaw margin","parasymphysial plate dentition","dentition","UBERON:0003672","organised","","","","","","","dentition","dentition","UBERON:0003672","","","",""
"Swartz 2012.xml_states272.xml","states272","state274","absent","parasymphsial fang","cuspid","UBERON:0003674","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states272.xml","states272","state275","present","parasymphsial fang","cuspid","UBERON:0003674","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states276.xml","states276","state278","detachable whorl","whorl","","","detachable","","","","","","","","","","","","",""
"Swartz 2012.xml_states276.xml","states276","state279","sutured plate with denticles or teeth","plate","","","sutured","","","","","","","","","","","","",""
"Swartz 2012.xml_states280.xml","states280","state282","absent","lateral parasymphysial foramen","anatomical conduit","UBERON:0004111","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states280.xml","states280","state283","present","lateral parasymphysial foramen","anatomical conduit","UBERON:0004111","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states284.xml","states284","state286","absent","mesial parasymphysial foramen","anatomical conduit","UBERON:0004111","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states284.xml","states284","state287","present","mesial parasymphysial foramen","anatomical conduit","UBERON:0004111","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states288.xml","states288","state290","long","dentary","dentary","UBERON:0004742","long","size","PATO:0000117","","","","","","","","","","",""
"Swartz 2012.xml_states288.xml","states288","state291","short with lip fold","dentary","dentary","UBERON:0004742","short","decreased length;decreased height","PATO:0000574;PATO:0000569","","","","","lip","lip","UBERON:0001833","","","",""
"Swartz 2012.xml_states292.xml","states292","state294","same size as maxillary teeth","dentary tooth","dentary tooth","UBERON:0011594","same size as","","","","","","","maxillary tooth","maxillary tooth","UBERON:0011593","","","",""
"Swartz 2012.xml_states292.xml","states292","state295","larger than maxillary teeth","dentary tooth","dentary tooth","UBERON:0011594","larger","increased size","PATO:0000586","","","","","maxillary tooth","maxillary tooth","UBERON:0011593","","","",""
"Swartz 2012.xml_states292.xml","states292","state296","smaller than maxillary teeth","dentary tooth","dentary tooth","UBERON:0011594","smaller","decreased size","PATO:0000587","","","","","maxillary tooth","maxillary tooth","UBERON:0011593","","","",""
"Swartz 2012.xml_states297.xml","states297","state299","present","accessory tooth row","tooth row","UBERON:0009678","present","present","PATO:0000467","","","","","","","","dentary","dentary","UBERON:0004742",""
"Swartz 2012.xml_states297.xml","states297","state299","present","dentary","dentary","UBERON:0004742","present","present","PATO:0000467","","","","","","","","dentary","dentary","UBERON:0004742",""
"Swartz 2012.xml_states297.xml","states297","state300","absent","accessory tooth row","tooth row","UBERON:0009678","absent","absent","PATO:0000462","","","","","","","","dentary","dentary","UBERON:0004742",""
"Swartz 2012.xml_states297.xml","states297","state300","absent","dentary","dentary","UBERON:0004742","absent","absent","PATO:0000462","","","","","","","","dentary","dentary","UBERON:0004742",""
"Swartz 2012.xml_states305.xml","states305","state307","absent","dentary fang","cuspid","UBERON:0003674","absent","absent","PATO:0000462","","","","","","","","","dentary","UBERON:0004742",""
"Swartz 2012.xml_states305.xml","states305","state308","1 pair","pair","","","1","count","PATO:0000070","","","","","","","","","","","1"
"Swartz 2012.xml_states305.xml","states305","state309","1 unpaired no replacement pit","replacement pit","","","1","count","PATO:0000070","","","","","","","","","","","1"
"Swartz 2012.xml_states305.xml","states305","state309","1 unpaired no replacement pit","replacement pit","","","unpaired","","","","","","","","","","","","",""
"Swartz 2012.xml_states305.xml","states305","state309","1 unpaired no replacement pit","replacement pit","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states310.xml","states310","state312","smooth continuous line","line","","","smooth","smooth","PATO:0000701","","","","","","","","","","",""
"Swartz 2012.xml_states310.xml","states310","state312","smooth continuous line","line","","","continuous","continuous","PATO:0000689","","","","","","","","","","",""
"Swartz 2012.xml_states310.xml","states310","state313","abruptly tapering or stepped margin","dentary","dentary","UBERON:0004742","tapering abruptly","","","","","","","margin","anatomical margin","BSPO:0000006","","","",""
"Swartz 2012.xml_states310.xml","states310","state313","abruptly tapering or stepped margin","dentary","dentary","UBERON:0004742","stepped margin","","","","","","","margin","anatomical margin","BSPO:0000006","","","",""
"Swartz 2012.xml_states310.xml","states310","state313","abruptly tapering or stepped margin","ventral edge","anatomical margin","BSPO:0000006","tapering abruptly","","","","","","","","","","","","",""
"Swartz 2012.xml_states310.xml","states310","state313","abruptly tapering or stepped margin","ventral edge","anatomical margin","BSPO:0000006","stepped margin","","","","","","","","","","","","",""
"Swartz 2012.xml_states314.xml","states314","state316","not sutured to prearticular","splenial","splenial","UBERON:3000573","not sutured","","","not sutured","","","","","","","","","",""
"Swartz 2012.xml_states314.xml","states314","state317","sutured to prearticular","splenial","splenial","UBERON:3000573","sutured","","","","","","","","","","","","",""
"Swartz 2012.xml_states314.xml","states314","state318","postsplenial obstructing splenial prearticular contact","postsplenial","","","obstructing","","","","","","","splenial prearticular contact","prearticular","UBERON:3000458","","","",""
"Swartz 2012.xml_states319.xml","states319","state321","no","postsplenial suture","cranial suture","UBERON:0003685","absent","absent","PATO:0000462","","","","","","","","postsplenial suture",",cranial suture",",UBERON:0003685",""
"Swartz 2012.xml_states319.xml","states319","state321","no","prearticular","prearticular","UBERON:3000458","absent","absent","PATO:0000462","","","","","","","","postsplenial suture","cranial suture","UBERON:0003685",""
"Swartz 2012.xml_states319.xml","states319","state322","yes but interrupted by Meckelian foramina or fenestrae","postsplenial suture","cranial suture","UBERON:0003685","interrupted","discontinuous","PATO:0000690","","","","","meckelian foramen, fenestra","anatomical conduit,fenestra","UBERON:0004111,UBERON:0004705","postsplenial suture",",cranial suture",",UBERON:0003685",""
"Swartz 2012.xml_states319.xml","states319","state322","yes but interrupted by Meckelian foramina or fenestrae","prearticular","prearticular","UBERON:3000458","interrupted","discontinuous","PATO:0000690","","","","","meckelian foramen, fenestra","anatomical conduit,fenestra","UBERON:0004111,UBERON:0004705","postsplenial suture","cranial suture","UBERON:0003685",""
"Swartz 2012.xml_states319.xml","states319","state323","uninterrupted suture","suture","cranial suture","UBERON:0003685","uninterrupted","continuous","PATO:0000689","","","","","","","","postsplenial suture","cranial suture","UBERON:0003685",""
"Swartz 2012.xml_states324.xml","states324","state326","no","mesial lamina","lamina","UBERON:0000957","","","","not part of","","","","postsplenial","","","","","",""
"Swartz 2012.xml_states324.xml","states324","state327","yes","mesial lamina","lamina","UBERON:0000957","part of","","","","","","","postsplenial","","","","","",""
"Swartz 2012.xml_states332.xml","states332","state334","much lower than adjacent prearticular","meckelian foramina fenestra","fenestra","UBERON:0004705","much","","","","","","","adjacent prearticular","prearticular","UBERON:3000458","","anatomical conduit","UBERON:0004111",""
"Swartz 2012.xml_states332.xml","states332","state335","equal to or greater than depth of adjacent prearticular","meckelian foramina fenestra","fenestra","UBERON:0004705","or greater than","","","","","","","","","","adjacent prearticular","anatomical conduit,prearticular","UBERON:0004111,UBERON:3000458",""
"Swartz 2012.xml_states336.xml","states336","state338","present","meckelian exposure","","","present","present","PATO:0000467","","","","","","","","precoronoid fossa","","",""
"Swartz 2012.xml_states336.xml","states336","state338","present","precoronoid fossa","bone fossa","UBERON:0004704","present","present","PATO:0000467","","","","","","","","precoronoid fossa",",bone fossa",",UBERON:0004704",""
"Swartz 2012.xml_states336.xml","states336","state339","absent","meckelian exposure","","","absent","absent","PATO:0000462","","","","","","","","precoronoid fossa","","",""
"Swartz 2012.xml_states336.xml","states336","state339","absent","precoronoid fossa","bone fossa","UBERON:0004704","absent","absent","PATO:0000462","","","","","","","","precoronoid fossa",",bone fossa",",UBERON:0004704",""
"Swartz 2012.xml_states340.xml","states340","state342","no","posterior region","posterior region","BSPO:0000072","","","","not longer","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states340.xml","states340","state342","no","anterior region","anterior region","BSPO:0000071","","","","not more","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states340.xml","states340","state343","yes","posterior region","posterior region","BSPO:0000072","longer","increased length","PATO:0000573","","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states340.xml","states340","state343","yes","anterior region","anterior region","BSPO:0000071","more","","","","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states344.xml","states344","state346","no","posterior region","posterior region","BSPO:0000072","","","","not longer","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states344.xml","states344","state346","no","anterior region","anterior region","BSPO:0000071","","","","not more","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states344.xml","states344","state347","yes","posterior region","posterior region","BSPO:0000072","longer","increased length","PATO:0000573","","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states344.xml","states344","state347","yes","anterior region","anterior region","BSPO:0000071","more","","","","","","","","","","coronoid,","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states348.xml","states348","state350","yes","coronoid fang","cuspid","UBERON:0003674","larger","increased size","PATO:0000586","","","","","","","","","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states348.xml","states348","state351","no","coronoid fang","cuspid","UBERON:0003674","","","","not larger","","","","","","","","coronoid","UBERON:3000103",""
"Swartz 2012.xml_states352.xml","states352","state354","no","coronoid","coronoid","UBERON:3000103","","","","not 1 ","","","","","","","","","",""
