?matrix_label	?char_number	?char_label	?symbol	?state_label	?entity	?entity_label	?quality	?quality_label	?related_entity	?related_entity_label	?attributes
Bornbusch_1995.xml	50	Extent of the secondary hypurapophysis over the lower hypurals	0	confined to first hypural (in <i>Pterocryptis</i>, the secondary hypurapophysis variably has a posterior projection fused, to the second hypural; Bornbusch, 1991b that is lateral but not	<http://purl.obolibrary.org/obo/UBERON_2001028>	hypurapophysis	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_2001560>	hypural 1	position
Bornbusch_1995.xml	50	Extent of the secondary hypurapophysis over the lower hypurals	1	origin of secondary hypurapophysis extends over second hypural	<http://purl.obolibrary.org/obo/UBERON_2001028>	hypurapophysis	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_2001561>	hypural 2	position
Royero_1999.xml	25	Supraneural	0	developing a dorsal ossification forming anterior nuchal plate, in contact with supraoccipital in adults	<http://purl.obolibrary.org/obo/UBERON_2000442>	supraneural bone	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2001816>	anterior nuchal plate	structure
Ruta_2011.xml	2	Cleithrum anterior margin, in lateral aspect, inclined posteriorly	1	or more than 10 degrees relative to the horizontal plane	<http://purl.org/phenoscape/uuid/7ca6357c-b202-489e-86af-022cba10bda6>	[anterior margin and (part_of some cleithrum)]	<http://purl.obolibrary.org/obo/PATO_0002327>	increased angle to	<http://purl.obolibrary.org/obo/BSPO_0000019>	horizontal plane	position
Vigliotta_2008.xml	66	Development of anterior processes of basipterygia	1	anteromedial process extending further anteriorly	<http://purl.org/phenoscape/uuid/35822023-71de-42cc-bb71-b70c412a5162>	[anterior margin and (part_of some internal anterior process of basipterygium)]	<http://purl.obolibrary.org/obo/PATO_0001632>	anterior to	<http://purl.org/phenoscape/uuid/ed6b2f13-ea0e-400c-bd87-2180547c4f4c>	[anterior margin and (part_of some external anterior process of basipterygium)]	position
dePinna_1993.xml	82	Metapterygoid	0	metapterygoid in catfishes primitively has no contact with the lateral ethmoid	<http://purl.obolibrary.org/obo/UBERON_2000240>	metapterygoid	<http://purl.obolibrary.org/obo/PATO_0001505>	separated from	<http://purl.obolibrary.org/obo/UBERON_2000226>	lateral ethmoid	structure
Martinez_2011.xml	136	Metatarsal 4, distal end (and phalanx IV-1, base), proportions	0	broader than deep or subequal	<http://purl.org/phenoscape/uuid/a54e6d9b-a49d-4368-9b8e-e23bf9313f8a>	[width and (inheres_in some (distal region and (part_of some metatarsal bone of digit 4)))]	<http://purl.obolibrary.org/obo/PATO_0000586>	increased size	<http://purl.org/phenoscape/uuid/cf3d395a-8945-4463-89e5-a34a87b81367>	[depth and (inheres_in some (distal region and (part_of some metatarsal bone of digit 4)))]	size
vari-1995.xml	43	Area of attachment of ligamentum primordiale on lower jaw	0	broad attachment onto fascia of adductor mandibulae muscle and rear of lower jaw	<http://purl.obolibrary.org/obo/UBERON_2001828>	primordial ligament	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0003278>	skeleton of lower jaw	structure
vari-1995.xml	43	Area of attachment of ligamentum primordiale on lower jaw	1	restricted attachment onto distinct process and adjoining region of posteroventral portion of angulo-articular	<http://purl.obolibrary.org/obo/UBERON_2001828>	primordial ligament	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0004744>	articular/anguloarticular	structure
Royero_1999.xml	38	Sphenotic	0	not forming part of trigeminofacial foramen	<http://purl.obolibrary.org/obo/UBERON_2000587>	sphenotic	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2001741>	trigeminofacial foramen	structure
Royero_1999.xml	38	Sphenotic	1	ventral process of sphenotic forming dorsal section of trigeminofacial foramen	<http://purl.obolibrary.org/obo/UBERON_2000587>	sphenotic	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2001741>	trigeminofacial foramen	structure
Tyler_Santini_2005.xml	36	Epihyal, depth of the anterior end	0	equal, or almost equal, to the depth of the adjacent part of the ceratohyal	<http://purl.org/phenoscape/uuid/cb741210-ae19-4ccc-be54-4c019b6ee01f>	[anterior region and (part_of some posterior ceratohyal)]	<http://purl.obolibrary.org/obo/PATO_0001595>	depth	<http://purl.obolibrary.org/obo/UBERON_0011611>	ceratohyal bone	size
Ruta_2003.xml	254	HUM 18 - Humerus length	1	smaller than the length of two and a half mid-trunk vertebrae	<http://purl.obolibrary.org/obo/UBERON_0000976>	humerus	<http://purl.obolibrary.org/obo/PATO_0000574>	decreased length	<http://purl.obolibrary.org/obo/UBERON_0002347>	thoracic vertebra	size
Martinez_2011.xml	75	Manus digit I phalanx 1, rotation of axis through distal condyles	0	no rotation or slight ventrolateral rotation	<http://purl.obolibrary.org/obo/UBERON_0001463>	manual digit 1	<http://purl.obolibrary.org/obo/PATO_0001659>	ventrally rotated	<http://purl.org/phenoscape/uuid/1503da91-6642-4d1e-be81-31e4d30847e9>	[condyle and (part_of some manual digit 1)]	position
Martinez_2011.xml	75	Manus digit I phalanx 1, rotation of axis through distal condyles	1	rotated 45∞ ventromedially	<http://purl.obolibrary.org/obo/UBERON_0001463>	manual digit 1	<http://purl.obolibrary.org/obo/PATO_0001659>	ventrally rotated	<http://purl.org/phenoscape/uuid/4e6ab474-33df-4212-8862-0e5672be8445>	[condyle and (part_of some manual digit 1)]	position
Martinez_2011.xml	75	Manus digit I phalanx 1, rotation of axis through distal condyles	2	rotated 60∞ ventromedially	<http://purl.obolibrary.org/obo/UBERON_0001463>	manual digit 1	<http://purl.obolibrary.org/obo/PATO_0001659>	ventrally rotated	<http://purl.org/phenoscape/uuid/c2b4bf39-8e15-4dbb-a5c4-8fff54cab860>	[condyle and (part_of some manual digit 1)]	position
Ruta_2003.xml	254	HUM 18 - Humerus length	0	greater than the length of two and a half mid-trunk vertebrae	<http://purl.obolibrary.org/obo/UBERON_0000976>	humerus	<http://purl.obolibrary.org/obo/PATO_0000573>	increased length	<http://purl.obolibrary.org/obo/UBERON_0002347>	thoracic vertebra	size
Sereno_2009.xml	73	Humeral deltopectoral crest apex, location from proximal end	0	40-50%	<http://purl.obolibrary.org/obo/UBERON_0002498>	deltopectoral crest	<http://purl.obolibrary.org/obo/PATO_0002233>	far from	<http://purl.org/phenoscape/uuid/b91d0a8c-5109-4d2a-9d79-c677e41de281>	[proximal region and (part_of some humerus)]	position
Royero_1999.xml	74	First and second basal radial	0	separated from neural spine of fourth vertebra, or when connected, this is by simple interdigitation between the bony surfaces	<http://purl.obolibrary.org/obo/UBERON_2001818>	dorsal fin proximal radial bone 1	<http://purl.obolibrary.org/obo/PATO_0001505>	separated from	<http://purl.obolibrary.org/obo/UBERON_2001546>	neural spine 4	structure
Schaefer_1991.xml	50	Anterior margin of the snout	2	anterior snout tip is without plates, the remainder of the snout composed of small separate platelets	<http://purl.org/phenoscape/uuid/5f8e5273-b353-494d-855c-d323521bec59>	[anterior margin and (part_of some snout)]	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2002053>	bony plate	structure
Fink_Fink_1981+1996.xml	64	Anterior neural arch	0	in gonorynchiforms, the anterior neural arch is especially enlarged and has an extensive, tight joint with the exoccipital (<i>Chanos</i>, Fig. 6 and <i>Gonorynchus</i>) or with the exoccipital and supraoccipital	<http://purl.obolibrary.org/obo/UBERON_2001877>	neural arch 1	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0001693>	exoccipital bone	structure
Fink_Fink_1981+1996.xml	64	Anterior neural arch	0	in gonorynchiforms, the anterior neural arch is especially enlarged and has an extensive, tight joint with the exoccipital (<i>Chanos</i>, Fig. 6 and <i>Gonorynchus</i>) or with the exoccipital and supraoccipital	<http://purl.obolibrary.org/obo/UBERON_2001877>	neural arch 1	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0004747>	supraoccipital bone	structure
Armbruster_2004.xml	47	Preoperculo-hyomandibular ridge continuous	0	yes	<http://purl.org/phenoscape/uuid/11e952ed-d7f4-454f-9ede-8fb78a8c0e05>	[anatomical projection and (part_of some hyomandibular bone)]	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.org/phenoscape/uuid/f5459ad8-bd50-4261-902a-df38b07ae174>	[anatomical projection and (part_of some preopercle)]	position
Schaefer_1991.xml	49	Canal-bearing cheek plate	0	canal-bearing cheek plate receives its canal from the preopercle	<http://purl.org/phenoscape/uuid/09202dbe-ddbc-42a3-8f55-01c321642e90>	[bony plate and (part_of some head)]	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2000264>	preopercle	structure
DiDario_2004.xml	4	Grau de fusão dos elementos endocondrais e dérmicos do mesetmóide (Johnson e  Patterson, 1996#2)	0	elementos desenvolvidos e fusionados	<http://purl.obolibrary.org/obo/UBERON_2001403>	supraethmoid	<http://purl.obolibrary.org/obo/PATO_0000642>	fused with	<http://purl.obolibrary.org/obo/UBERON_0011238>	mesethmoid bone	structure
Tyler_etal_2003.xml	10	Dermosphenotic	0	an ossification distinctly separate from sphenotic, sometimes relatively free from skull	<http://purl.obolibrary.org/obo/UBERON_2001708>	dermosphenotic	<http://purl.obolibrary.org/obo/PATO_0001505>	separated from	<http://purl.obolibrary.org/obo/UBERON_2000587>	sphenotic	structure
dePinna_1996.xml	25	Supracleithrum	1	the supracleithrum is firmly attached or ankylosed to the neurocranium and the two elements are immovably connected either by strong connective tIssue (aspredinids) or direct bone contact	<http://purl.obolibrary.org/obo/UBERON_2000594>	supracleithrum	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0010323>	cranial skeletal system	structure
dePinna_1996.xml	25	Supracleithrum	0	loosely connected with the posterolateral portion of the skull roof	<http://purl.obolibrary.org/obo/UBERON_2000594>	supracleithrum	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0010323>	cranial skeletal system	structure
Zhang_et_al_2009.xml	43	Distal carpal 4 and 5	0	two elements remain separate	<http://purl.obolibrary.org/obo/UBERON_0001433>	distal carpal bone 4	<http://purl.obolibrary.org/obo/PATO_0000651>	unfused from	<http://purl.obolibrary.org/obo/UBERON_0010739>	distal carpal bone 5	structure
Ford_1990.xml	105	Preaxial centrale, size in realtion to the postaxial centrale	2	preaxial one -third the size of the postaxial centrale	<http://purl.org/phenoscape/uuid/0c22017b-317e-42cc-a4b1-e1a85058b1c6>	[central carpal bone and (OBO_REL_located_in some ad622898-0ca2-4af1-9cf9-28fd55dda30e)]	<http://purl.obolibrary.org/obo/PATO_0000117>	size	<http://purl.org/phenoscape/uuid/eb111082-a167-4f82-b5c7-538effa1d021>	[central carpal bone and (OBO_REL_located_in some f79cca0a-ac8d-4d1e-a95d-347357dd6c47)]	size
Arratia_1999.xml	78	Neural arches of the abdominal region	1	fused, except for the first five or six	<http://purl.org/phenoscape/uuid/e48abce9-dde3-44ae-818d-701e68e9bd73>	[neural arch and (part_of some trunk vertebra)]	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0001075>	vertebral centrum	structure
Coburn_Cavender_1992.xml	113	Anterior anal pterygiophores positioned relative to first hemal spine	0	first or second anterior anal pterygiophores positioned forward of first hemal spine	<http://purl.obolibrary.org/obo/UBERON_2001420>	anal fin pterygiophore	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_2001364>	hemal spine	position
Bockman_1998.xml	24	Comprimento da porção posterior do etmóide lateral	1	metade do comprimento da porção anterior	<http://purl.org/phenoscape/uuid/20dd0001-a776-4b23-8445-c7fad103e613>	[posterior region and (part_of some lateral ethmoid)]	<http://purl.obolibrary.org/obo/PATO_0000587>	decreased size	<http://purl.org/phenoscape/uuid/f44256d0-df03-4ae9-8301-0160c132ec3b>	[anterior region and (part_of some lateral ethmoid)]	size
Toledo-Piza_2000.xml	13	Portion on vomer for articulation of maxilla	0	not modified in 1	<http://purl.obolibrary.org/obo/UBERON_0002396>	vomer	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0002397>	maxilla	structure
Toledo-Piza_2000.xml	13	Portion on vomer for articulation of maxilla	1	presence of a shallow depression on its anterolateral surface where anterior tip of maxilla abuts	<http://purl.obolibrary.org/obo/UBERON_0002396>	vomer	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0002397>	maxilla	structure
Royero_1999.xml	11	Lateral border of frontal	1	sphenotic with a deep concavity, the sphenotic forming a long anterior spine-process	<http://purl.org/phenoscape/uuid/b87920a9-e992-48bf-a897-f73a6fbe0f33>	[lateral margin and (part_of some actinopterygian frontal bone)]	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_2000587>	sphenotic	position
Albert_2001.xml	186	Anterior series of displaced hemal spines	0	three DHSs in hypaxial musculature immediately posterior to body cavity	<http://purl.obolibrary.org/obo/UBERON_2001364>	hemal spine	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_0002323>	coelemic cavity lumen	position
Britto_2003.xml	31	Articulation between infraorbitals and hyomandibular	1	present	<http://purl.obolibrary.org/obo/UBERON_2000376>	infraorbital	<http://purl.obolibrary.org/obo/PATO_0002278>	articulated with	<http://purl.obolibrary.org/obo/UBERON_0011606>	hyomandibular bone	structure
Albert_2001.xml	186	Anterior series of displaced hemal spines	1	anterior series of 8-14 DHSs in hypaxial musculature lateral to body cavity	<http://purl.obolibrary.org/obo/UBERON_2001364>	hemal spine	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_0002323>	coelemic cavity lumen	position
Shibatta_1998.xml	13	Nasal (propoções, figura 12)	0	o osso nasal é primitivamente alongado e bem ossificado, entre 14 e 19% do comprimenro do neurocrânio	<http://purl.obolibrary.org/obo/UBERON_0001681>	nasal bone	<http://purl.obolibrary.org/obo/PATO_0000117>	size	<http://purl.obolibrary.org/obo/UBERON_0001703>	neurocranium	size
Shibatta_1998.xml	13	Nasal (propoções, figura 12)	1	ocorrer um osso nasal muito curto, de aproximadamente 8% do comprimento do neurocrânio	<http://purl.obolibrary.org/obo/UBERON_0001681>	nasal bone	<http://purl.obolibrary.org/obo/PATO_0000117>	size	<http://purl.obolibrary.org/obo/UBERON_0001703>	neurocranium	size
Zanata_Vari_2005.xml	99	Area of attachment on neurocranium of ligament extending from anterodorsal portion of suspensorium to anteroventral portion of neurocranium	0	attachment located on ventral surface of main body of vomer and distinctly medial to lateral margin of that bone	<http://purl.obolibrary.org/obo/UBERON_0000211>	ligament	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0002396>	vomer	structure
Zanata_Vari_2005.xml	99	Area of attachment on neurocranium of ligament extending from anterodorsal portion of suspensorium to anteroventral portion of neurocranium	1	attachment located more anteriorly than in state 0 and situated in region of lateral margin of vomer along area of articulation of vomer and mesethmoid	<http://purl.obolibrary.org/obo/UBERON_0000211>	ligament	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0002396>	vomer	structure
Shirai_1996.xml	57	Scapular process	3	articulated with the synarcual by a ball and socket articulation	<http://purl.org/phenoscape/uuid/5d2a301c-b3a9-40cb-ac7d-1b5453c59cb4>	[anatomical projection and (part_of some scapula)]	<http://purl.obolibrary.org/obo/PATO_0002278>	articulated with	<http://purl.obolibrary.org/obo/UBERON_4200128>	synarcual region of vertebral column	structure
Royero_1999.xml	138	Anal fin	2	basal radials totally fused forming a single bony plate	<http://purl.org/phenoscape/uuid/10d903f3-88b5-4ed7-987c-f49294c7aac7>	[anal fin proximal radial bone and (part_of some male organism)]	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2000268>	anal fin proximal radial bone	structure
DiDario_2004.xml	17	Relação entre o mesetmóide e os pré-maxilares	0	pré-maxilares articulam-se com o mesetmóide fracamente	<http://purl.obolibrary.org/obo/UBERON_0011238>	mesethmoid bone	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0002244>	premaxilla	structure
Coburn_Cavender_1992.xml	66	Lateral process of palatine	1	projects anteriorly	<http://purl.org/phenoscape/uuid/65730c7c-491d-4d5f-9f0b-028e266ad19e>	[anatomical projection and (part_of some (lateral region and (part_of some autopalatine)))]	<http://purl.obolibrary.org/obo/PATO_0000133>	orientation	<http://purl.obolibrary.org/obo/UBERON_2000620>	autopalatine	position
Arratia_1999.xml	5	Supraoccipital bone	2	extending forward in roof of otic region	<http://purl.obolibrary.org/obo/UBERON_0004747>	supraoccipital bone	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_0005902>	occipital region	position
Arratia_1999.xml	5	Supraoccipital bone	2	extending forward in roof of otic region	<http://purl.obolibrary.org/obo/UBERON_0004747>	supraoccipital bone	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_0003110>	otic region	position
Arratia_1999.xml	5	Supraoccipital bone	1	confined to occipital region	<http://purl.obolibrary.org/obo/UBERON_0004747>	supraoccipital bone	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_0005902>	occipital region	position
DiDario_2004.xml	17	Relação entre o mesetmóide e os pré-maxilares	1	pré-maxilares comparativamente mais fixos ao mesetmóide	<http://purl.obolibrary.org/obo/UBERON_0011238>	mesethmoid bone	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0002244>	premaxilla	structure
Anderson_2001.xml	128	trunk neural arches	0	paired	<http://purl.org/phenoscape/uuid/48dabe89-1b24-42c4-acc1-7f6c35a72ddb>	[neural arch and (in_left_side_of some trunk vertebra)]	<http://purl.obolibrary.org/obo/PATO_0000651>	unfused from	<http://purl.org/phenoscape/uuid/3775224f-23d2-4f38-b117-91dc6eabad37>	[neural arch and (in_right_side_of some trunk vertebra)]	structure
Swartz_2012.xml	165	Radius and ulna	0	radius much longer than ulna	<http://purl.obolibrary.org/obo/UBERON_0001423>	radius bone	<http://purl.obolibrary.org/obo/PATO_0000573>	increased length	<http://purl.obolibrary.org/obo/UBERON_0001424>	ulna	size
Ishii_Imamura_2007.xml	12	Ectopteryoid and metapterygoid	1	attached	<http://purl.obolibrary.org/obo/UBERON_0011634>	ectopterygoid bone	<http://purl.obolibrary.org/obo/PATO_0001667>	attached to	<http://purl.obolibrary.org/obo/UBERON_2000240>	metapterygoid	structure
Zhu_etal_1999(CloutierAhlberg).xml	125	Pelvis contacting vertebral column	1	yes	<http://purl.obolibrary.org/obo/UBERON_0007832>	pelvic girdle skeleton	<http://purl.obolibrary.org/obo/PATO_0001961>	in contact with	<http://purl.obolibrary.org/obo/UBERON_0001130>	vertebral column	structure
Chang_Maisey_2003.xml	21	Second hypural	1	fused with first ural centrum	<http://purl.obolibrary.org/obo/UBERON_2001561>	hypural 2	<http://purl.obolibrary.org/obo/PATO_0000642>	fused with	<http://purl.obolibrary.org/obo/UBERON_2002065>	ural centrum 1	structure
dePinna_1993.xml	130	Anterior tip of the anterior cartilage of ceratobranchial 4	1	in Helogenidae, Cetopsidae, such apomorphic overlap occurs, and there is also a poorly-defined concavity on hypobranchial 3 accomodating the protruding ceratobranchial	<http://purl.obolibrary.org/obo/UBERON_2001902>	ceratobranchial 4 element	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2001896>	hypobranchial 3 element	structure
Carroll_2007.xml	96	Ventral ridge system	7	as in (0), but with internal trochanter merged with short adductor crest;	<http://purl.obolibrary.org/obo/UBERON_4200036>	internal trochanter	<http://purl.obolibrary.org/obo/PATO_0000642>	fused with	<http://purl.obolibrary.org/obo/UBERON_4200029>	adductor crest	structure
dePinna_1993.xml	130	Anterior tip of the anterior cartilage of ceratobranchial 4	0	does not overlap the posterior margin of the third hypobranchial in ostariophysans	<http://purl.obolibrary.org/obo/UBERON_2001902>	ceratobranchial 4 element	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2001896>	hypobranchial 3 element	structure
Armbruster_2004.xml	75	Double attachment of opercle	0	absent	<http://purl.obolibrary.org/obo/UBERON_2000250>	opercle	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0011606>	hyomandibular bone	structure
Armbruster_2004.xml	75	Double attachment of opercle	1	present	<http://purl.obolibrary.org/obo/UBERON_2000250>	opercle	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0011606>	hyomandibular bone	structure
Albert_2001.xml	230	Hypaxial electric organs length	0	electric organ extending from anus to tip of tail, along ventral margin of hypaxial musculature	<http://purl.obolibrary.org/obo/BSPO_0000672>	posterior margin	<http://purl.obolibrary.org/obo/PATO_0002259>	adjacent to	<http://purl.org/phenoscape/uuid/a6983045-c1fe-42ad-ac31-3e93df42e744>	[posterior margin and (part_of some caudal fin)]	position
Royero_1999.xml	108	First epibranchial	1	larger [than second epibranchial], with medial tip occupying anterodorsal part of upper half of branchial arch	<http://purl.obolibrary.org/obo/UBERON_2001243>	epibranchial 1 bone	<http://purl.obolibrary.org/obo/PATO_0000586>	increased size	<http://purl.obolibrary.org/obo/UBERON_2001246>	epibranchial 2 bone	size
Mo_1991_siluroids_Tbl5-8.xml	85	Ribs on anterior abdominal vertebrae	2	attached to dorsal surfaces of the parapophyses	<http://purl.obolibrary.org/obo/UBERON_0002228>	rib	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0003109>	parapophysis	structure
Brazeau_2009.xml	120	Pectoral fin base has large, hemispherical dermal component	0	absent	<http://purl.obolibrary.org/obo/UBERON_0000151>	pectoral fin	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0008907>	dermal bone	structure
Brazeau_2009.xml	120	Pectoral fin base has large, hemispherical dermal component	1	present	<http://purl.obolibrary.org/obo/UBERON_0000151>	pectoral fin	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0008907>	dermal bone	structure
Mo_1991_siluroids_Tbl5-8.xml	85	Ribs on anterior abdominal vertebrae	0	proximally attached to ventral surfaces of the parapophyses and stretching approximately parallel to the parapophyses	<http://purl.obolibrary.org/obo/UBERON_0002228>	rib	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0003109>	parapophysis	structure
Fink_Fink_1981+1996.xml	38	Maxilla	1	maxilla articulates directly against the anterolateral face of the ethmoid	<http://purl.obolibrary.org/obo/UBERON_0002397>	maxilla	<http://purl.obolibrary.org/obo/PATO_0001961>	in contact with	<http://purl.obolibrary.org/obo/UBERON_0011238>	mesethmoid bone	structure
Mo_1991_siluroids_Tbl5-8.xml	85	Ribs on anterior abdominal vertebrae	1	attached to posterior sides of the parapophyses and with proximal ends turned anteroventrally to embrace the parapophyses	<http://purl.obolibrary.org/obo/UBERON_0002228>	rib	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0003109>	parapophysis	structure
Mayden_1989.xml	43	Posterior tip of subopercle	c	extremely elevated  above anterior end	<http://purl.org/phenoscape/uuid/24d673da-3b54-41af-b3c7-4891fbfcf9fb>	[posterior region and (part_of some subopercle)]	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.org/phenoscape/uuid/ede7108f-866a-4c4a-87f1-7fdc95fd3eee>	[anterior region and (part_of some subopercle)]	position
