characterr,sentence,entityontoid,entitylabel,qualityontoid,qualitylabel
Metapterygoid posterior margin,posterior margin of metapterygoid directly abutting hyomandibula,BSPO:0000672^OBO_REL:part_of(TAO:0000240),posterior margin(part_of(metapterygoid)),PATO:0001961,in contact with
Metapterygoid posterior margin,posterior margin of metapterygoid directly abutting hyomandibula,BSPO:0000672^OBO_REL:part_of(TAO:0000240),posterior margin(part_of(metapterygoid)),PATO:0001961,in contact with
Metapterygoid triangular,metapterygoid shaped like head of a double-headed ax; dorsal and ventral rnargins concave,BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0001857,concave
Metapterygoid triangular,metapterygoid shaped like head of a double-headed ax; dorsal and ventral rnargins concave,BSPO:0000679^OBO_REL:part_of(TAO:0000240),dorsal margin(part_of(metapterygoid)),PATO:0001857,concave
Metapterygoid triangular,metapterygoid shaped like head of a double-headed ax; dorsal and ventral rnargins concave,BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0001857,concave
Metapterygoid triangular,metapterygoid shaped like head of a double-headed ax; dorsal and ventral rnargins concave,BSPO:0000684^OBO_REL:part_of(TAO:0000240),ventral margin(part_of(metapterygoid)),PATO:0001857,concave
Proximal articulating head of hyomandibula,proximal portion of hyomandibula broad; articulating surface facing anterodorsally,BSPO:0000077^OBO_REL:part_of(TAO:0000672),proximal region(part_of(hyomandibula)),PATO:0000600,increased width
Proximal articulating head of hyomandibula,proximal portion of hyomandibula broad; articulating surface facing anterodorsally,BSPO:0000077^OBO_REL:part_of(TAO:0000672),proximal region(part_of(hyomandibula)),PATO:0000600,increased width
Proximal articulating head of hyomandibula,proximal portion of hyomandibula narrow; articulating surface facing dorsally,BSPO:0000077^OBO_REL:part_of(TAO:0000672),proximal region(part_of(hyomandibula)),PATO:0000599,decreased width
Proximal articulating head of hyomandibula,proximal portion of hyomandibula narrow; articulating surface facing dorsally,BSPO:0000077^OBO_REL:part_of(TAO:0000672),proximal region(part_of(hyomandibula)),PATO:0000599,decreased width
Anterior limb of preopercle,"preopercle broad, crescent- shaped; ventral margin of anterior limb of preopercle curving smoothly to anterior tip",BSPO:0000684^OBO_REL:part_of(TAO:0000289),ventral margin(part_of(preopercle horizontal limb)),PATO:0000406,curved
Anterior limb of preopercle,"preopercle broad, crescent- shaped; ventral margin of anterior limb of preopercle curving smoothly to anterior tip",BSPO:0000684^OBO_REL:part_of(TAO:0000289),ventral margin(part_of(preopercle horizontal limb)),PATO:0000406,curved
Shape of opercle,"opercle approximately triangular; dorsal margin about as long as posterior margin, and either slightly curved or straight",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0000573,increased length
Shape of opercle,"opercle approximately triangular; dorsal margin about as long as posterior margin, and either slightly curved or straight",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0000573,increased length
Shape of opercle,"opercle approximately triangular; dorsal margin about as long as posterior margin, and either slightly curved or straight",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001593,decreased curvature
Shape of opercle,"opercle approximately triangular; dorsal margin about as long as posterior margin, and either slightly curved or straight",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001593,decreased curvature
Shape of opercle,"opercle approximately triangular; dorsal margin about as long as posterior margin, and either slightly curved or straight",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0002180,straight
Shape of opercle,"opercle approximately triangular; dorsal margin about as long as posterior margin, and either slightly curved or straight",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0002180,straight
Shape of opercle,"outline of opercle approximately rectangular; dorsal margin shorter than posterior margin, and interrupted by a pronounced angle",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0000574,decreased length
Shape of opercle,"outline of opercle approximately rectangular; dorsal margin shorter than posterior margin, and interrupted by a pronounced angle",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0000574,decreased length
Shape of opercle,"outline of opercle approximately rectangular; dorsal margin shorter than posterior margin, and interrupted by a pronounced angle",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001977,angular
Shape of opercle,"outline of opercle approximately rectangular; dorsal margin shorter than posterior margin, and interrupted by a pronounced angle",BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001977,angular
Dorsal margin of opercle,dorsal margin of opercle concave,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001857,concave
Dorsal margin of opercle,dorsal margin of opercle concave,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001857,concave
Dorsal margin of opercle,dorsal margin of opercle convex,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001355,convex
Dorsal margin of opercle,dorsal margin of opercle convex,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0001355,convex
Dorsal margin of opercle,dorsal margin of opercle straight,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0002180,straight
Dorsal margin of opercle,dorsal margin of opercle straight,BSPO:0000679^OBO_REL:part_of(TAO:0000250),dorsal margin(part_of(opercle)),PATO:0002180,straight
Base of gill rakers,"base of gill rakers not mineralized, rakers (when present) not attached to gill arches",BSPO:0000074^OBO_REL:part_of(TAO:0000356),basal region(part_of(gill raker)),PATO:0000025,composition
Base of gill rakers,"base of gill rakers not mineralized, rakers (when present) not attached to gill arches",BSPO:0000074^OBO_REL:part_of(TAO:0000356),basal region(part_of(gill raker)),PATO:0000025,composition
Base of gill rakers,"base of gill rakers not mineralized, rakers (when present) not attached to gill arches",BSPO:0000074^OBO_REL:part_of(TAO:0000356),basal region(part_of(gill raker)),PATO:0000025,composition
Shape of fifth epibranchial,anterior portion of fifth epibrailchial straight,BSPO:0000071^OBO_REL:part_of(TAO:0001247),anterior region(part_of(epibranchial 3 bone)),PATO:0002180,straight
Shape of fifth epibranchial,anterior portion of fifth epibrailchial straight,BSPO:0000071^OBO_REL:part_of(TAO:0001247),anterior region(part_of(epibranchial 3 bone)),PATO:0002180,straight
Shape of fifth epibranchial,shape of anterior portion of fifth epibranchial sinuous,BSPO:0000071^OBO_REL:part_of(TAO:0001247),anterior region(part_of(epibranchial 3 bone)),PATO:0001989,sinuous
Shape of fifth epibranchial,shape of anterior portion of fifth epibranchial sinuous,BSPO:0000071^OBO_REL:part_of(TAO:0001247),anterior region(part_of(epibranchial 3 bone)),PATO:0001989,sinuous
Posterior margin of third hypobranchial,"third hypobranchial broad at posterior margin, triangular in horizontal view",BSPO:0000672^OBO_REL:part_of(TAO:0001233),posterior margin(part_of(hypobranchial 1 bone)),PATO:0000600,increased width
Posterior margin of third hypobranchial,"third hypobranchial broad at posterior margin, triangular in horizontal view",BSPO:0000672^OBO_REL:part_of(TAO:0001233),posterior margin(part_of(hypobranchial 1 bone)),PATO:0000600,increased width
Anterior margin of third hypobranchial,third hypobranchial pentagonal in dorsal view; anterior margin interrupted by a sharp angle,BSPO:0000671^OBO_REL:part_of(TAO:0001233),anterior margin(part_of(hypobranchial 1 bone)),PATO:0001977,angular
Anterior margin of third hypobranchial,third hypobranchial pentagonal in dorsal view; anterior margin interrupted by a sharp angle,BSPO:0000671^OBO_REL:part_of(TAO:0001233),anterior margin(part_of(hypobranchial 1 bone)),PATO:0001977,angular
Anterior margin of third hypobranchial,third hypobranchial rectangular in dorsal view; anterior margin straight,BSPO:0000671^OBO_REL:part_of(TAO:0001233),anterior margin(part_of(hypobranchial 1 bone)),PATO:0002180,straight
Anterior margin of third hypobranchial,third hypobranchial rectangular in dorsal view; anterior margin straight,BSPO:0000671^OBO_REL:part_of(TAO:0001233),anterior margin(part_of(hypobranchial 1 bone)),PATO:0002180,straight
Posterior ridge of basihyal,"dorsal surface of basihyal convex along its long axis, forming a ridge",BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0001355,convex
Posterior ridge of basihyal,"dorsal surface of basihyal convex along its long axis, forming a ridge",BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0001355,convex
Posterior ridge of basihyal,dorsal surface of basihyal flat or rounded,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0000407,flat
Posterior ridge of basihyal,dorsal surface of basihyal flat or rounded,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0000407,flat
Posterior ridge of basihyal,dorsal surface of basihyal flat or rounded,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0000411,round
Posterior ridge of basihyal,dorsal surface of basihyal flat or rounded,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0000411,round
Dorsal surface of basihyal,"dorsal surface of barsihyal concave along its long axis, forming a shallow trough",BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0001857,concave
Dorsal surface of basihyal,"dorsal surface of barsihyal concave along its long axis, forming a shallow trough",BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0001857,concave
Dorsal surface of basihyal,dorsal surface of basihyal flat or convex,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0000407,flat
Dorsal surface of basihyal,dorsal surface of basihyal flat or convex,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0000407,flat
Dorsal surface of basihyal,dorsal surface of basihyal flat or convex,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0001355,convex
Dorsal surface of basihyal,dorsal surface of basihyal flat or convex,BSPO:0000379^OBO_REL:part_of(TAO:0000316),dorsal surface(part_of(basihyal bone)),PATO:0001355,convex
Shape of postcleithra,"postcleithra robust, posterior margins straight; main axes of postcleithra aligned with that of supracleithrum",BSPO:0000672^OBO_REL:part_of(TAO:0000410),posterior margin(part_of(postcleithrum)),PATO:0002180,straight
Shape of postcleithra,"postcleithra robust, posterior margins straight; main axes of postcleithra aligned with that of supracleithrum",BSPO:0000672^OBO_REL:part_of(TAO:0000410),posterior margin(part_of(postcleithrum)),PATO:0002180,straight
Shape of postcleithra,"postcleithra thin and discoid, posterior margins curved; main axes of postcleithra oblique with that of supracleithrum",BSPO:0000672^OBO_REL:part_of(TAO:0000410),posterior margin(part_of(postcleithrum)),PATO:0000406,curved
Shape of postcleithra,"postcleithra thin and discoid, posterior margins curved; main axes of postcleithra oblique with that of supracleithrum",BSPO:0000672^OBO_REL:part_of(TAO:0000410),posterior margin(part_of(postcleithrum)),PATO:0000406,curved
Anterior process of coracoid,"anterior coracoid process extending anterior towards cleithral symphysis, paralleling ventral margin of cleithrum",BSPO:0000071^OBO_REL:part_of(TAO:0000332),anterior region(part_of(coracoid)),PATO:0000140,position
Anterior process of coracoid,anterior coracoid process not extend to a vertical with concact of dorsomedial limb of coracoid with cleithrum,BSPO:0000071^OBO_REL:part_of(TAO:0000332),anterior region(part_of(coracoid)),PATO:0000140,position
Vertebral fenestrae,lateral walls of neural arches completely ossified; dorsal margin straight,BSPO:0000082^OBO_REL:part_of(TAO:0001066),lateral region(part_of(neural arch)),PATO:0000141,structure
Vertebral fenestrae,lateral walls of neural arches completely ossified; dorsal margin straight,BSPO:0000082^OBO_REL:part_of(TAO:0001066),lateral region(part_of(neural arch)),PATO:0000141,structure
Vertebral fenestrae,"lateral walls of neural arches with several small fenestrae; dorsal margin uneven, with several evaginations",BSPO:0000082^OBO_REL:part_of(TAO:0001066),lateral region(part_of(neural arch)),PATO:0000141,structure
Vertebral fenestrae,"lateral walls of neural arches with several small fenestrae; dorsal margin uneven, with several evaginations",BSPO:0000082^OBO_REL:part_of(TAO:0001066),lateral region(part_of(neural arch)),PATO:0000141,structure
Size of anterior displaced hemal spine,anterior DHS approximately as straight and as wide as other hemal spines,BSPO:0000036^OBO_REL:part_of(TAO:0001364),anterior-most(part_of(hemal spine)),PATO:0000117,size
Size of anterior displaced hemal spine,anterior DHS approximately as straight and as wide as other hemal spines,BSPO:0000036^OBO_REL:part_of(TAO:0001364),anterior-most(part_of(hemal spine)),PATO:0000117,size
Shape of anal-fin pterygiophore tips,tips of pterygiophores shaped like an arrow-head; axial series of pterygiophores providing the ventral margin of the anal-fin base a scalloped appearance,BSPO:0000684^OBO_REL:part_of(TAO:0001162),ventral margin(part_of(anal fin)),PATO:0001889,scalloped
Shape of anal-fin pterygiophore tips,tips of pterygiophores shaped like an arrow-head; axial series of pterygiophores providing the ventral margin of the anal-fin base a scalloped appearance,BSPO:0000684^OBO_REL:part_of(TAO:0001162),ventral margin(part_of(anal fin)),PATO:0001889,scalloped
Oral opening in adults,lower jaw extends anterior to upper; oral aperture superior,BSPO:0000671^OBO_REL:part_of(TAO:0001272),anterior margin(part_of(palatoquadrate arch)),PATO:0001632,anterior to
Oral opening in adults,"upper and lower jaws of equal length, oral aperture terminal",BSPO:0000671^OBO_REL:part_of(TAO:0001272),anterior margin(part_of(palatoquadrate arch)),PATO:0001653,aligned with
Oral opening in adults,"upper jaw extends anterior to lower, oral aperture inferior",BSPO:0000671^OBO_REL:part_of(TAO:0001272),anterior margin(part_of(palatoquadrate arch)),PATO:0001633,posterior to
Shape of anterior ribs,anterior pair of pleural ribs narrow; breadth approximately equal to width,BSPO:0000055^OBO_REL:part_of(TAO:0000538),anterior side(part_of(rib)),PATO:0000117,size
Shape of anterior ribs,anterior pair of pleural ribs narrow; breadth approximately equal to width,BSPO:0000055^OBO_REL:part_of(TAO:0000538),anterior side(part_of(rib)),PATO:0000117,size
Shape of anterior ribs,"anterior ribs broad, breadth two to three times width",BSPO:0000055^OBO_REL:part_of(TAO:0000538),anterior side(part_of(rib)),PATO:0000117,size
Shape of anterior ribs,"anterior ribs broad, breadth two to three times width",BSPO:0000055^OBO_REL:part_of(TAO:0000538),anterior side(part_of(rib)),PATO:0000117,size
Shape of last precaudal parapophyses,parapophyses of last precaudal vertebra broad and triangular; their tips rounded,BSPO:0000078^OBO_REL:part_of(TAO:0001362),distal region(part_of(parapophysis)),PATO:0001950,blunt
Shape of last precaudal parapophyses,parapophyses of last precaudal vertebra broad and triangular; their tips rounded,BSPO:0000078^OBO_REL:part_of(TAO:0001362),distal region(part_of(parapophysis)),PATO:0001950,blunt
Shape of last precaudal parapophyses,"parapophyses of last precaudal vertebra slender and sinous, their tips pointed",BSPO:0000078^OBO_REL:part_of(TAO:0001362),distal region(part_of(parapophysis)),PATO:0001500,tapered
Shape of last precaudal parapophyses,"parapophyses of last precaudal vertebra slender and sinous, their tips pointed",BSPO:0000078^OBO_REL:part_of(TAO:0001362),distal region(part_of(parapophysis)),PATO:0001500,tapered
Tail length,length of tail posterior to anal fin- 17- 45% total length,BSPO:0000072^OBO_REL:part_of(TAO:0001115),posterior region(part_of(trunk)),PATO:0000122,length
Tail length,length of tail posterior to anal fin- 17- 45% total length,BSPO:0000072^OBO_REL:part_of(TAO:0001115),posterior region(part_of(trunk)),PATO:0000122,length
Tail length,"tail long, more than 45% total length",BSPO:0000072^OBO_REL:part_of(TAO:0001115),posterior region(part_of(trunk)),PATO:0000122,length
Tail length,"tail long, more than 45% total length",BSPO:0000072^OBO_REL:part_of(TAO:0001115),posterior region(part_of(trunk)),PATO:0000122,length
Tail length,"tail short, 0 - 16% total length",BSPO:0000072^OBO_REL:part_of(TAO:0001115),posterior region(part_of(trunk)),PATO:0000122,length
Tail length,"tail short, 0 - 16% total length",BSPO:0000072^OBO_REL:part_of(TAO:0001115),posterior region(part_of(trunk)),PATO:0000122,length
Hypaxial electric organs length,electric organ extending anterior to position of anal pore,BSPO:0000671^OBO_REL:part_of(TAO:0002037),anterior margin(part_of(electric organ)),PATO:0001632,anterior to
Hypaxial electric organs length,"electric organ extending from anus to tip of tail, along ventral margin of hypaxial musculature",BSPO:0000671^OBO_REL:part_of(TAO:0002037),anterior margin(part_of(electric organ)),PATO:0002259,adjacent to
Hypaxial electric organs length,"electric organ extending from anus to tip of tail, along ventral margin of hypaxial musculature",BSPO:0000672,posterior margin,PATO:0002259,adjacent to
"Premaxilla size, maxilla orientation","lateral margin of premaxilla approximately equal in length to lateral margin of maxilla, premaxilla terminating anterior to articulation of maxilla with autopalatine; articular surface of maxilla with autopalatine oriented posteriorly (posteromedially in plesiomorphic ostariophysans; Fink and Fink, 1981, fig. 3)",BSPO:0000682^OBO_REL:part_of(TAO:0000567),lateral margin(part_of(premaxilla)),PATO:0000117,size
"Premaxilla size, maxilla orientation","lateral margin of premaxilla approximately equal in length to lateral margin of maxilla, premaxilla terminating anterior to articulation of maxilla with autopalatine; articular surface of maxilla with autopalatine oriented posteriorly (posteromedially in plesiomorphic ostariophysans; Fink and Fink, 1981, fig. 3)",BSPO:0000682^OBO_REL:part_of(TAO:0000567),lateral margin(part_of(premaxilla)),PATO:0000117,size
"Premaxilla size, maxilla orientation","lateral margin of premaxilla longer than lateral margin of maxilla, premaxilla extends posterodorsal to articulation of rnaxilla with autopalatine; articular surface of maxilla with autopalatine oriented anterodorsally",BSPO:0000682^OBO_REL:part_of(TAO:0000567),lateral margin(part_of(premaxilla)),PATO:0000117,size
"Premaxilla size, maxilla orientation","lateral margin of premaxilla longer than lateral margin of maxilla, premaxilla extends posterodorsal to articulation of rnaxilla with autopalatine; articular surface of maxilla with autopalatine oriented anterodorsally",BSPO:0000682^OBO_REL:part_of(TAO:0000567),lateral margin(part_of(premaxilla)),PATO:0000117,size
White mid-sagital pigments,all mid-sagital surfaces brown,BSPO:0000009^OBO_REL:part_of(TAO:0001094),midsaggital section(part_of(body)),PATO:0000952,brown
White mid-sagital pigments,mid-sagital region of dorsal and mental surfaces bright white,BSPO:0000009^OBO_REL:part_of(TAO:0001094),midsaggital section(part_of(body)),PATO:0000323,white
Anterior maxillary process,"anterior process of maxilla extends anterior to articulation of maxilla and autopalatine, forming a tapered process, its ventral margin continuous with descending blade of maxilla; maxilla forked in lateral view",BSPO:0000071^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(TAO:0000270)),anterior region(part_of(process(part_of(maxilla)))),PATO:0001632,anterior to
Anterior maxillary process,"anterior process of maxilla not ossified; ventral margin of descending blade extends to articulation of maxilla with autopalatine, forming anterior border of maxilla; maxilla crescent shaped in lateral view",BSPO:0000071^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(TAO:0000270)),anterior region(part_of(process(part_of(maxilla)))),PATO:0000025,composition
Anterior maxillary process,"anterior process of maxilla not ossified; ventral margin of descending blade extends to articulation of maxilla with autopalatine, forming anterior border of maxilla; maxilla crescent shaped in lateral view",BSPO:0000071^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(TAO:0000270)),anterior region(part_of(process(part_of(maxilla)))),PATO:0000025,composition
Anterior maxillary process,"anterior process of maxilla not ossified; ventral margin of descending blade extends to articulation of maxilla with autopalatine, forming anterior border of maxilla; maxilla crescent shaped in lateral view",BSPO:0000071^OBO_REL:part_of(TAO:0001834^OBO_REL:part_of(TAO:0000270)),anterior region(part_of(process(part_of(maxilla)))),PATO:0000025,composition
Anterior maxillary margin,"anterior margin cartilaginous, contacting posterior margin of premaxilla",BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0001449,cartilaginous
Anterior maxillary margin,"anterior margin cartilaginous, contacting posterior margin of premaxilla",BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0001449,cartilaginous
Anterior maxillary margin,"anterior margin cartilaginous, contacting posterior margin of premaxilla",BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0001449,cartilaginous
Anterior maxillary margin,"anterior margin cartilaginous, contacting posterior margin of premaxilla",BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0001961,in contact with
Anterior maxillary margin,"anterior margin cartilaginous, contacting posterior margin of premaxilla",BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0001961,in contact with
Anterior maxillary margin,anterior margin of maxilla broad and triangular,BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0000600,increased width
Anterior maxillary margin,anterior margin of maxilla broad and triangular,BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0000600,increased width
Anterior maxillary margin,anterior margin of maxilla broad and triangular,BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0001875,triangular
Anterior maxillary margin,anterior margin of maxilla broad and triangular,BSPO:0000671^OBO_REL:part_of(TAO:0000270),anterior margin(part_of(maxilla)),PATO:0001875,triangular
Anteroventral shelf of descending maxillary blade,descending blade of maxilla broad and curved; maxilla sickle-shaped in lateral view,BSPO:0000027^OBO_REL:part_of(TAO:0000270),antero-ventral region(part_of(maxilla)),PATO:0000052,shape
Anteroventral shelf of descending maxillary blade,descending blade of maxilla broad and curved; maxilla sickle-shaped in lateral view,BSPO:0000027^OBO_REL:part_of(TAO:0000270),antero-ventral region(part_of(maxilla)),PATO:0000052,shape
Anteroventral shelf of descending maxillary blade,"descending blade of maxilla broad, connective tissue membrane along its anteroventral margin ossified to form a thin shelf; anterior portion of maxilla rhomboid in lateral view",BSPO:0000084^OBO_REL:part_of(TAO:0000270),ventral region(part_of(maxilla)),PATO:0000052,shape
Anteroventral shelf of descending maxillary blade,"descending blade of maxilla broad, connective tissue membrane along its anteroventral margin ossified to form a thin shelf; anterior portion of maxilla rhomboid in lateral view",BSPO:0000084^OBO_REL:part_of(TAO:0000270),ventral region(part_of(maxilla)),PATO:0000052,shape
Anteroventral shelf of descending maxillary blade,"descending blade of maxilla broad, connective tissue membrane along its anteroventral margin ossified to form a thin shelf; anterior portion of maxilla rhomboid in lateral view",BSPO:0000688^OBO_REL:part_of(BSPO:0000084^OBO_REL:part_of(TAO:0000270)),antero-ventral margin(part_of(ventral region(part_of(maxilla)))),PATO:0001448,ossified
Anteroventral shelf of descending maxillary blade,"descending blade of maxilla broad, connective tissue membrane along its anteroventral margin ossified to form a thin shelf; anterior portion of maxilla rhomboid in lateral view",BSPO:0000688^OBO_REL:part_of(BSPO:0000084^OBO_REL:part_of(TAO:0000270)),antero-ventral margin(part_of(ventral region(part_of(maxilla)))),PATO:0001448,ossified
Anteroventral shelf of descending maxillary blade,"descending blade of maxilla broad, connective tissue membrane along its anteroventral margin ossified to form a thin shelf; anterior portion of maxilla rhomboid in lateral view",BSPO:0000688^OBO_REL:part_of(BSPO:0000084^OBO_REL:part_of(TAO:0000270)),antero-ventral margin(part_of(ventral region(part_of(maxilla)))),PATO:0001448,ossified
Dentary process,ventral margin of dentary straight to its contact with anguloarticular,BSPO:0000684^OBO_REL:part_of(TAO:0000191),ventral margin(part_of(dentary)),PATO:0002180,straight
Dentary process,ventral margin of dentary straight to its contact with anguloarticular,BSPO:0000684^OBO_REL:part_of(TAO:0000191),ventral margin(part_of(dentary)),PATO:0002180,straight
Mesethmoid narrow,"entire length of mesethmoid broad in dorsal view, width of anterior tip approximately equal to width of region between nasal capsules",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000600,increased width
Mesethmoid narrow,"entire length of mesethmoid broad in dorsal view, width of anterior tip approximately equal to width of region between nasal capsules",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000600,increased width
Mesethmoid narrow,"mesethmoid narrow near anterior end, forked in dorsal view, narrower between nasal capsules than in more posterior portions",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000599,decreased width
Mesethmoid narrow,"mesethmoid narrow near anterior end, forked in dorsal view, narrower between nasal capsules than in more posterior portions",BSPO:0000071^OBO_REL:part_of(TAO:0000323),anterior region(part_of(mesethmoid bone)),PATO:0000599,decreased width
Anterior mesethmoid groove,anterior surface of mesethmoid concave,BSPO:0000371^OBO_REL:part_of(TAO:0000323),anterior surface(part_of(mesethmoid bone)),PATO:0001857,concave
Anterior mesethmoid groove,anterior surface of mesethmoid concave,BSPO:0000371^OBO_REL:part_of(TAO:0000323),anterior surface(part_of(mesethmoid bone)),PATO:0001857,concave
Anterior mesethmoid groove,anterior surface of mesethmoid flat or convex,BSPO:0000371^OBO_REL:part_of(TAO:0000323),anterior surface(part_of(mesethmoid bone)),PATO:0000407,flat
Anterior mesethmoid groove,anterior surface of mesethmoid flat or convex,BSPO:0000371^OBO_REL:part_of(TAO:0000323),anterior surface(part_of(mesethmoid bone)),PATO:0000407,flat
Anterior mesethmoid groove,anterior surface of mesethmoid flat or convex,BSPO:0000371^OBO_REL:part_of(TAO:0000323),anterior surface(part_of(mesethmoid bone)),PATO:0001355,convex
