File	Character Number	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label						File	Character Number	Character Label												File	Character Number	Character Label															pectoral girdle (more than one element)				scapula			coracoid					clavicle				interclavicle				cliethrum				sternum				humerus				ulna				radius			carpals					metacarpals				phalanges		pelvic girdle (more than one element)			ilium			pubis		ischium		femur		tibia		fibula		tarsal					metatarsals				phalanges				digits		
Ruta_2011.xml	113	Anterior distal condyle 	1	as wide as 	3727eb73-4a56-4eb6-a19c-1c59388f305f	3727eb73-4a56-4eb6-a19c-1c59388f305f	3600bf10-f422-4b94-92ae-2f75bd2c6ceb	3600bf10-f422-4b94-92ae-2f75bd2c6ceb						Maisey_1981.xml	95	(F26.) Collagenous fin-rays												Maisey_1981.xml	95	(F26.) Collagenous fin-rays										Zhu_etal_1999(CloutierAhlberg).xml	144	Denticulate postbranchial lamina of the cleithrum										OConnor_etal.xml	87	"Coracoid, acrocoracoid"			Ruta_2011.xml	14	Clavicle plate morphology in ventral aspect and mesiolateral orientation						Ruta_2011.xml	9	Cleithrum anteroventral process						Ruta_and_Bolt_2006.xml	216	Humerus 13									OLeary_et_al_2013.xml	3141	"Carpus, Prepollex, presence "																									Martinez_2011.xml	126	"Astragalus, anterolateral process for calcaneum"											Ruta_and_Coates_2007.xml	333	Digits 1 Digits
Ruta_2011.xml	113	Anterior distal condyle 	2	or less wide than posterior distal condyle in extensor aspect	3727eb73-4a56-4eb6-a19c-1c59388f305f	3727eb73-4a56-4eb6-a19c-1c59388f305f	PATO_0000599	decreased width						Maisey_1981.xml	100	(F31.) Heterocercal tail												Maisey_1981.xml	100	(F31.) Heterocercal tail										Zhu_etal_1999(CloutierAhlberg).xml	114	Depressed lamina of cleithrum										Nesbitt_2011.xml	226	"Coracoid, anterior portion:"			Laurin_1998.xml	122	Clavicle shape						Ruta_2011.xml	2	Cleithrum attachment to scapulocoracoid						Ruta_and_Bolt_2006.xml	217	Humerus 15									OLeary_et_al_2013.xml	3136	"Carpus, Trapezium, independence, presence"																									Nesbitt_2011.xml	361	"Astragalus, anteromedial corner shape: "											Ruta_and_Coates_2007.xml	334	Digits 2 Manus with no more than four digits
OConnor_etal.xml	221	"Metatarsals II-IV, intermetatarsal fusion"	0	absent or minimal co-ossification	4035e895-6548-4f21-b7f6-9054a1b9cbd0	4035e895-6548-4f21-b7f6-9054a1b9cbd0	PATO_0000651	unfused from						Maisey_1981.xml	78	(F9.) Paired pectoral and pelvic appendages with internal supporting girdles and radials; protractor pectoralis muscles; ossification of lateral plate derivatives												Maisey_1981.xml	78	(F9.) Paired pectoral and pelvic appendages with internal supporting girdles and radials; protractor pectoralis muscles; ossification of lateral plate derivatives										Zhu_etal_1999(CloutierAhlberg).xml	133	Distal end of lepidotrichium										Nesbitt_2011.xml	228	"Coracoid, deep fossa on the posterodorsal edge:"			Baez_Moura_Gomez_2009.xml	59	Clavicle- scapula relation						Ruta_2011.xml	8	Cleithrum depressed posterior flange						Ruta_and_Bolt_2006.xml	218	Humerus 16									OLeary_et_al_2013.xml	3183	"Carpus, Trapezoid, presence"																									Martinez_2011.xml	125	"Astragalus, anteromedial corner, shape (dorsal view)"											Ruta_and_Coates_2007.xml	335	Digits 3 Manus with no more than five digits
OConnor_etal.xml	221	"Metatarsals II-IV, intermetatarsal fusion"	1	"partial fusion, sutural contacts easily discernible"	4035e895-6548-4f21-b7f6-9054a1b9cbd0	4035e895-6548-4f21-b7f6-9054a1b9cbd0	PATO_0001961	in contact with						Maisey_1981.xml	131	(G10.) Multiple jointing of pectoral radials												Maisey_1981.xml	131	(G10.) Multiple jointing of pectoral radials										Zhu_etal_1999(CloutierAhlberg).xml	120	Endoskeletal supports in pectoral fins										Benson_2012.xml	185	"Coracoid, foramen on posterodorsal surface between glenoid and triceps process"			Ford_1990.xml	84	"clavicle, condition and orientation"						Ruta_2011.xml	11	Cleithrum distinct shaft						Ruta_and_Bolt_2006.xml	219	Humerus 17									Wang_Evans_2006.xml	44	Distal carpal 4 and 5																									Nesbitt_2011.xml	367	"Astragalus, articular surface for the calcaneum:"											Ruta_and_Coates_2007.xml	336	Digits 4 Manus with no more than three digits
OConnor_etal.xml	221	"Metatarsals II-IV, intermetatarsal fusion"	2	"completely or nearly completely fused, sutural contacts absent or poorly demarcated"	4035e895-6548-4f21-b7f6-9054a1b9cbd0	4035e895-6548-4f21-b7f6-9054a1b9cbd0	PATO_0000642	fused with						Maisey_1981.xml	124	(G3.) Mixipterygial claspers of male pelvic fins												Maisey_1981.xml	124	(G3.) Mixipterygial claspers of male pelvic fins										Zhu_etal_1999(CloutierAhlberg).xml	117	Extracleithrum										OConnor_etal.xml	85	"Coracoid, humeral articular (glenoid) facet"			Cloutier_Arratia_2004.xml	151	"Clavicle, length of (LUND 2000, char. 52)"						Anderson_2007.xml	155	Cleithrum dorsal shape 						Ruta_and_Bolt_2006.xml	220	Humerus 19									Nesbitt_2011.xml	249	Distal carpal V:																									Nesbitt_2011.xml	355	"Astragalus, dorsally expanded process on the posterolateral portion of the tibial facet:"													
Janvier_1996.xml	36	"Tail (Although apparently pad-shaped, isocercal or diphycercal, the tail of heterostracans is coded here as hypocercal, because it is assumed to be derived from the hypocercal tail of generalized thelodont type by enlargement of the epichordal radials, as suggested by the 'fork-tailed' thelodonts which display the same tail morphology as heterostracans. The actual path of the notochord has, however, never been observed in heterostracans.)"	0	isocercal	4128a13e-058f-48bf-9fd1-ef6b67d0e85c	4128a13e-058f-48bf-9fd1-ef6b67d0e85c	PATO_0000467	present						Maisey_1981.xml	126	(G5.) Dorsal fin(s) with basal cartilage												Maisey_1981.xml	126	(G5.) Dorsal fin(s) with basal cartilage										Zhu_etal_1999(CloutierAhlberg).xml	39	Extrascapulars										Sereno_2009.xml	71	"Coracoid, length relative to width of acromion at mid height"			Trueb_Baez_2006.xml	49	"Clavicle, medial end"						Anderson_etal_ 2008.xml	191	Cleithrum head						Ruta_and_Bolt_2006.xml	206	Humerus 2									Ford_1990.xml	111	"Distal carpale I, fusion"																									Nesbitt_2011.xml	360	"Astragalus, dorsolateral margin:"													
OConnor_etal.xml	138	"Humerus, m. humerotricipitalis groove"	0	absent	42c1eea7-4512-4ca1-9507-b11a1282a1f5	42c1eea7-4512-4ca1-9507-b11a1282a1f5	PATO_0000462	absent						Maisey_1981.xml	127	(G6.) All premetapterygial radials of pectoral fin articulate with basals (more than one radial per basal)												Maisey_1981.xml	127	(G6.) All premetapterygial radials of pectoral fin articulate with basals (more than one radial per basal)										Zhu_etal_1999(CloutierAhlberg).xml	143	Median fin spines										OConnor_etal.xml	93	"Coracoid, medial surface, strongly depressed elongate furrow at the level of the passage of n. supracoracoideus"			Scott_2005.xml	22	"Clavicle, orientation"						Ruta_2011.xml	10	Cleithrum lateral ridge						Ruta_and_Bolt_2006.xml	221	Humerus 20									Ford_1990.xml	110	"Distal carpale II, fusion"																									Martinez_2011.xml	121	"Astragalus, fibular facet"													
OConnor_etal.xml	138	"Humerus, m. humerotricipitalis groove"	1	present as a well-developed ventral depression contiguous with the olecranon fossa	42c1eea7-4512-4ca1-9507-b11a1282a1f5	42c1eea7-4512-4ca1-9507-b11a1282a1f5	PATO_0000467	present						Maisey_1981.xml	128	(G7.) Pelvic basipterygium articulates with all but the anteriormost few radials												Maisey_1981.xml	128	(G7.) Pelvic basipterygium articulates with all but the anteriormost few radials										Zhu_etal_1999(CloutierAhlberg).xml	123	Number of mesomeres in pectoral fin										Ford_1990.xml	81	"coracoid, orientation of posterior margin in realtion to longitudinal axis of body"			Benson_2012.xml	188	"Clavicle, orientation of long axis of ventromedial plate relative to shaft"						Ruta_2011.xml	7	Cleithrum narrow waisted region						Ruta_and_Bolt_2006.xml	222	Humerus 21									Ford_1990.xml	109	"Distal carpale III, fusion"																									Martinez_2011.xml	122	"Astragalus, fibular facet, primary orientation"													
Anderson_2007.xml	116	Atlas-axis intercentra	0	present	4761a96b-3d18-44fd-a091-9e82b9b4930f	4761a96b-3d18-44fd-a091-9e82b9b4930f	PATO_0000467	present						Maisey_1981.xml	150	"(H13.) (a) Fin-spines (where present) have shiny enameloid anteriorly, lack posterior denticles"												Maisey_1981.xml	150	"(H13.) (a) Fin-spines (where present) have shiny enameloid anteriorly, lack posterior denticles"										Zhu_etal_1999(CloutierAhlberg).xml	126	Pelvis contacting vertebral column										Ford_1990.xml	82	"Coracoid, pectoral fenestra"			OLeary_et_al_2013.xml	2939	"Clavicle, Presence"						Ruta_2011.xml	4	cleithrum ornamentation						Ruta_and_Bolt_2006.xml	207	Humerus 3																																				Benson_2012.xml	237	"Astragalus, orientation of tibial articular suface"													
Anderson_2007.xml	116	Atlas-axis intercentra	1	absent	4761a96b-3d18-44fd-a091-9e82b9b4930f	4761a96b-3d18-44fd-a091-9e82b9b4930f	PATO_0000462	absent						Maisey_1981.xml	151	(H13.) (b) Fin-spines lack trabecular osteodentine in outer trunk layer												Maisey_1981.xml	151	(H13.) (b) Fin-spines lack trabecular osteodentine in outer trunk layer										Zhu_etal_1999(CloutierAhlberg).xml	130	Posterior branched radial complex in posterior dorsal fin										Nesbitt_2011.xml	223	"Coracoid, post-glenoid process:"			Trueb_Baez_2006.xml	48	"Clavicle, relationship to scapula"						Swartz_2012.xml	149	Cleithrum postbranchial lamina						Ruta_and_Bolt_2006.xml	208	Humerus 4																																				Nesbitt_2011.xml	363	"Astragalus, posterior groove:"													
Anderson_2001.xml	116	atlas-axis_intercentra	0	present	4761a96b-3d18-44fd-a091-9e82b9b4930f	4761a96b-3d18-44fd-a091-9e82b9b4930f	PATO_0000467	present						Maisey_1981.xml	157	(H19.) Only one or two intermediate segments between pelvic basipterygium and clasper												Maisey_1981.xml	157	(H19.) Only one or two intermediate segments between pelvic basipterygium and clasper										Zhu_etal_1999(CloutierAhlberg).xml	119	Proximal articular surface of humerus										Nesbitt_2011.xml	224	"Coracoid, posteroventral edge, deep groove:"			Benson_2012.xml	187	"Clavicle, shape of ventromedial plate"						Gauthier_etal_1988.xml	152	Cleithrum-clavicle						Ruta_and_Bolt_2006.xml	209	Humerus 5																																				Martinez_2011.xml	127	"Astragalus, posteromedial crest (to posteromedial corner)"													
Anderson_2001.xml	116	atlas-axis_intercentra	1	absent	4761a96b-3d18-44fd-a091-9e82b9b4930f	4761a96b-3d18-44fd-a091-9e82b9b4930f	PATO_0000462	absent						Maisey_1981.xml	138	"(H2.) Tribasal pectoral (propterygium, mesopterygium, metapterygium)"												Maisey_1981.xml	138	"(H2.) Tribasal pectoral (propterygium, mesopterygium, metapterygium)"										Zhu_etal_1999(CloutierAhlberg).xml	116	Relationship of clavicle to cleithrum										Nesbitt_2011.xml	225	"Coracoid, posteroventral portion:"			Scott_2005.xml	21	"clavicle, thickness"						Ruta_2011.xml	12	Cleithrum-clavicle pattern of overlap						Ruta_and_Bolt_2006.xml	210	Humerus 6																																				Nesbitt_2011.xml	362	"Astragalus, proximal articular facet for fibula occupies:"													
Nesbitt_2011.xml	383	Longest metatarsal: 	0	shorter than 50% of tibial length	5a5b4325-4506-4787-afd2-2ec1a4efbefb and (BFO_0000052 some UBERON_0001448)	5a5b4325-4506-4787-afd2-2ec1a4efbefb and (inheres in some metatarsal bone)	PATO_0000574	decreased length						Maisey_1981.xml	158	(H20.) Basipterygium spans entire base of pelvic fin												Maisey_1981.xml	158	(H20.) Basipterygium spans entire base of pelvic fin										Zhu_etal_1999(CloutierAhlberg).xml	132	Relative length of proximal unsegmented part of lepidotrichium										Nesbitt_2011.xml	229	"Coracoid, sharp ridge leading from the glenoid to anteroventral corner:"			Gauthier_etal_1988.xml	153	Clavicles						Cloutier_Arratia_2004.xml	148	"Cleithrum, dorsal end of (CLOUTIER & AHLBERG 1996, char. 115; SCHULTZE & CUMBAA 2001, char. 94; ZHU & SCHULTZE 2001, char. 164)"						Ruta_and_Bolt_2006.xml	211	Humerus 7																																				Benson_2012.xml	238	"Astragalus, proximal neck region"													
Nesbitt_2011.xml	383	Longest metatarsal: 	1	longer than 50% of tibial length 	5a5b4325-4506-4787-afd2-2ec1a4efbefb and (BFO_0000052 some UBERON_0001448)	5a5b4325-4506-4787-afd2-2ec1a4efbefb and (inheres in some metatarsal bone)	PATO_0000573	increased length						Maisey_1981.xml	161	(H23.) Calcified radial series in first dorsal fin												Maisey_1981.xml	161	(H23.) Calcified radial series in first dorsal fin										Zhu_etal_1999(CloutierAhlberg).xml	124	"Trifurcations in pectoral fin skeleton (i.e., mesomeres carrying both pre- and postaxial radials)"										Ford_1990.xml	80	"Coracoid, size"			Ruta_2011.xml	16	Clavicles distinct ascending process						Ford_1990.xml	100	"Cleithrum, fusion"						Ruta_and_Bolt_2006.xml	212	Humerus 9																																				Nesbitt_2011.xml	359	"Astragalus, proximal surface:"													
OConnor_etal.xml	152	"Ulnare, ventral ramus"	0	shorter than dorsal ramus	66f20ce0-83b3-40ec-b6f1-b55b8bc46792 and (BFO_0000050 some (BSPO_0000084 and (BFO_0000050 some UBERON_0002445)))	66f20ce0-83b3-40ec-b6f1-b55b8bc46792 and (part of some (ventral region and (part of some ulnare)))	PATO_0000574	decreased length						Maisey_1981.xml	140	"(H4.) Shoulder-joint narrowed, with emphasis on propterygial support"												Maisey_1981.xml	140	"(H4.) Shoulder-joint narrowed, with emphasis on propterygial support"										Zhang_et_al_2009.xml	40	Fusion of distal carpal 1 + 2										Trueb_Baez_2006.xml	52	"Coracoid, sternal expansion relative to coracoid length"			Ruta_2011.xml	17	Clavicles lying flush 						Cloutier_Arratia_2004.xml	147	"Cleithrum, number of (SCHULTZE & CUMBAA 2001)"																																												Nesbitt_2011.xml	354	"Astragalus, ridge separating the tibial facet from the posterior edge (=astragalar ridge):"													
OConnor_etal.xml	152	"Ulnare, ventral ramus"	1	same length as dorsal ramus	66f20ce0-83b3-40ec-b6f1-b55b8bc46792 and (BFO_0000050 some (BSPO_0000084 and (BFO_0000050 some UBERON_0002445)))	66f20ce0-83b3-40ec-b6f1-b55b8bc46792 and (part of some (ventral region and (part of some ulnare)))	a205bd8a-ffb3-49c6-b003-801e05b299a5	a205bd8a-ffb3-49c6-b003-801e05b299a5						Maisey_1981.xml	141	"(H5.) Pectoral attachment rotated; primitive ""metapterygial axis"" transverse or oblique to body axis"												Maisey_1981.xml	141	"(H5.) Pectoral attachment rotated; primitive ""metapterygial axis"" transverse or oblique to body axis"										Zhang_et_al_2009.xml	41	Fusion of distal tarsal 1 + 2										OConnor_etal.xml	95	"Coracoid, sternolateral corner"			Ruta_2011.xml	15	Clavicles meet anteriorly						Clack_etal_2012.xml	95	"Cleithrum, postbranchial lamina"																																												Nesbitt_2011.xml	365	"Astragalus, tibial and fibular articulations: "													
OConnor_etal.xml	152	"Ulnare, ventral ramus"	2	longer than dorsal ramus	66f20ce0-83b3-40ec-b6f1-b55b8bc46792 and (BFO_0000050 some (BSPO_0000084 and (BFO_0000050 some UBERON_0002445)))	66f20ce0-83b3-40ec-b6f1-b55b8bc46792 and (part of some (ventral region and (part of some ulnare)))	PATO_0000573	increased length						Maisey_1981.xml	143	(H7.) Caudal hypaxial skeleton reduced												Maisey_1981.xml	143	(H7.) Caudal hypaxial skeleton reduced										Zhang_et_al_2009.xml	55	Pubotibialis and puboischiotibialis muscles										Nesbitt_2011.xml	222	Coracoid:			Nesbitt_2011.xml	213	Clavicles:																																																				Nesbitt_2011.xml	364	"Astragalus, tibial articular surface:"													
Swartz_2012.xml	140	Spiracular notch	0	absent	6d8f228a-0888-4d64-80fe-7ea8aa034c92	6d8f228a-0888-4d64-80fe-7ea8aa034c92	PATO_0000462	absent						Maisey_1981.xml	145	(H9.) Fused puboischiadic bar												Maisey_1981.xml	145	(H9.) Fused puboischiadic bar										Yates_Warren_2000.xml	112	Dorsal process of the clavicle										Drewes_1984.xml	15	Coracoids 			Yates_Warren_2000.xml	110	Clavicular facets 																																																				Nesbitt_2011.xml	366	"Astragalus, tibial facet: "													
Swartz_2012.xml	140	Spiracular notch	1	small opening	6d8f228a-0888-4d64-80fe-7ea8aa034c92	6d8f228a-0888-4d64-80fe-7ea8aa034c92	PATO_0000587	decreased size						Maisey_1981.xml	188	(J20.) Ventral fusion of scapulocoracoids												Maisey_1981.xml	188	(J20.) Ventral fusion of scapulocoracoids										Yates_Warren_2000.xml	115	Ectepicondyle of humerus 										Benson_2012.xml	184	"Coracoids, number"			Ruta_2003.xml	228	CLA 3 - Clavicles																																																				OLeary_et_al_2013.xml	3461	"Astraglus, Head, shape"													
Swartz_2012.xml	140	Spiracular notch	2	narrow groove	6d8f228a-0888-4d64-80fe-7ea8aa034c92	6d8f228a-0888-4d64-80fe-7ea8aa034c92	PATO_0000599	decreased width						Maisey_1981.xml	189	(J21.) (a) Process on pelvic girdle for tenaculum												Maisey_1981.xml	189	(J21.) (a) Process on pelvic girdle for tenaculum										Yates_Warren_2000.xml	117	Iliac blade 										Scott_2005.xml	25	"coraoid, shape of medial (sternal) edge"																																																									Gauthier_etal_1988.xml	197	Astragular sulcus													
Swartz_2012.xml	140	Spiracular notch	3	wide notch	6d8f228a-0888-4d64-80fe-7ea8aa034c92	6d8f228a-0888-4d64-80fe-7ea8aa034c92	PATO_0000600	increased width						Maisey_1981.xml	190	(J21.) (b) Process jointed and movable												Maisey_1981.xml	190	(J21.) (b) Process jointed and movable										Yates_Warren_2000.xml	119	Intercondylar fossa on the dorsal surface of the distal femur 																																																																					Anderson_2001.xml	178	astragulus													
Lund_Grogan_2004_euchondrocephala.xml	71	coracoid length	0	normal	722cd05a-b48d-4b6f-b76b-60b599a4c16c	722cd05a-b48d-4b6f-b76b-60b599a4c16c	PATO_0000122	length						Maisey_1981.xml	192	(J23.) Few intermediate segments between pelvic basipterygium and clasper												Maisey_1981.xml	192	(J23.) Few intermediate segments between pelvic basipterygium and clasper										Yates_Warren_2000.xml	113	Lateral margin of the clavicle																																																																					Gauthier_etal_1988.xml	198	Calcaneal tuber 													
Lund_Grogan_2004_euchondrocephala.xml	71	coracoid length	1	extended anteriorly	722cd05a-b48d-4b6f-b76b-60b599a4c16c	722cd05a-b48d-4b6f-b76b-60b599a4c16c	397c10f0-dad7-4b27-974f-f62c2b2111f4	397c10f0-dad7-4b27-974f-f62c2b2111f4						Maisey_1981.xml	193	(J24.) Basipterygium spans entire pelvic fin												Maisey_1981.xml	193	(J24.) Basipterygium spans entire pelvic fin										Yates_Warren_2000.xml	116	Radial articulation 																																																																					Benson_2012.xml	239	"Calcaneum (fibulare), proportions"													
