File	Character Number	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label
Castro_Vari_2004.xml	11	Degree of development of the ventral portion of the fourth epibranchial	0	moderately developed	UBERON_2001245	epibranchial 4 bone	PATO_0000052	shape			
Castro_Vari_2004.xml	12	Form of fifth upper tooth plate and its association with fourth epibranchial	1	transversely compressed and with distinct mobility relative to fourth epibranchial	BSPO_0000018 and (BFO_0000050 some UBERON_2001245)	transverse plane and (part of some epibranchial 4 bone)	PATO_0001485	condensed			
Castro_Vari_2004.xml	12	Form of fifth upper tooth plate and its association with fourth epibranchial	0	not transversely compressed and with little or no mobility relative to fourth epibranchial	BSPO_0000018 and (BFO_0000050 some UBERON_2001245)	transverse plane and (part of some epibranchial 4 bone)	PATO_0000052	shape			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	1	with distinct serrae even in smaller specimens and with serrae and porthole-like openings in larger individuals	BSPO_0000684 and (BFO_0000050 some UBERON_2001237)	ventral margin and (part of some ceratobranchial 1 bone)	PATO_0001206	serrated			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	1	with distinct serrae even in smaller specimens and with serrae and porthole-like openings in larger individuals	BSPO_0000684 and (BFO_0000050 some UBERON_2001240)	ventral margin and (part of some ceratobranchial 4 bone)	PATO_0001206	serrated			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	1	with distinct serrae even in smaller specimens and with serrae and porthole-like openings in larger individuals	BSPO_0000684 and (BFO_0000050 some UBERON_2001242)	ventral margin and (part of some ceratobranchial 2 bone)	PATO_0001206	serrated			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	1	with distinct serrae even in smaller specimens and with serrae and porthole-like openings in larger individuals	BSPO_0000684 and (BFO_0000050 some UBERON_2001241)	ventral margin and (part of some ceratobranchial 3 bone)	PATO_0001206	serrated			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	0	mostly smooth	BSPO_0000684 and (BFO_0000050 some UBERON_2001241)	ventral margin and (part of some ceratobranchial 3 bone)	PATO_0000701	smooth			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	0	mostly smooth	BSPO_0000684 and (BFO_0000050 some UBERON_2001237)	ventral margin and (part of some ceratobranchial 1 bone)	PATO_0000701	smooth			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	0	mostly smooth	BSPO_0000684 and (BFO_0000050 some UBERON_2001242)	ventral margin and (part of some ceratobranchial 2 bone)	PATO_0000701	smooth			
Castro_Vari_2004.xml	13	Form of anteroventral margin of the first through fourth ceratobranchials	0	mostly smooth	BSPO_0000684 and (BFO_0000050 some UBERON_2001240)	ventral margin and (part of some ceratobranchial 4 bone)	PATO_0000701	smooth			
Castro_Vari_2004.xml	14	Basihyal form	1	distinctly widened anteriorly	BSPO_0000671 and (BFO_0000050 some UBERON_0011618)	anterior margin and (part of some basihyal bone)	PATO_0000600	increased width			
Castro_Vari_2004.xml	14	Basihyal form	0	narrow or only moderately widened anteriorly	BSPO_0000671 and (BFO_0000050 some UBERON_0011618)	anterior margin and (part of some basihyal bone)	PATO_0000599	decreased width			
Castro_Vari_2004.xml	15	Notch on posterior portion of dorsal hypohyal	1	greatly reduced	UBERON_2000196	dorsal hypohyal bone	PATO_0000052	shape			
Castro_Vari_2004.xml	15	Notch on posterior portion of dorsal hypohyal	0	well developed	UBERON_2000196	dorsal hypohyal bone	PATO_0000052	shape			
Castro_Vari_2004.xml	16	Bifurcation on anterior portion of anterior ceratohyal	0	present	BSPO_0000671 and (BFO_0000050 some UBERON_0011611)	anterior margin and (part of some ceratohyal bone)	PATO_0001784	bifurcated			
Castro_Vari_2004.xml	16	Bifurcation on anterior portion of anterior ceratohyal	1	absent	BSPO_0000671 and (BFO_0000050 some UBERON_0011611)	anterior margin and (part of some ceratohyal bone)	PATO_0000052	shape			
Castro_Vari_2004.xml	17	Form of ventral portion of interhyal and ligament that joins interhyal to posterior ceratohyal	0	not notched, and ligament between interhyal and posterior ceratohyal without included sesamoid cartilage	UBERON_2000171	interhyal bone	PATO_0000052	shape			
Castro_Vari_2004.xml	17	Form of ventral portion of interhyal and ligament that joins interhyal to posterior ceratohyal	1	notched, and ligament between interhyal and posterior ceratohyal with included sesamoid cartilage	UBERON_2000171	interhyal bone	PATO_0000052	shape			
Castro_Vari_2004.xml	18	Form of branchiostegal rays	1	rays transversely broad	BSPO_0000018 and (BFO_0000050 some UBERON_2000476)	transverse plane and (part of some branchiostegal ray)	PATO_0000600	increased width			
Castro_Vari_2004.xml	18	Form of branchiostegal rays	0	rays narrow or moderately wide	UBERON_2000476	branchiostegal ray	PATO_0000599	decreased width			
Castro_Vari_2004.xml	19	Degree of transverse development of ventral wings of urohyal	1	highly developed	UBERON_2001825	urohyal lateral process	PATO_0000586	increased size			
Castro_Vari_2004.xml	19	Degree of transverse development of ventral wings of urohyal	0	slightly to moderately developed	UBERON_2001825	urohyal lateral process	PATO_0000587	decreased size			
Castro_Vari_2004.xml	20	Mode of attachment of teeth on upper and lower jaws	1	teeth not directly implanted on dentary and premaxilla, but rather movably attached to fleshy lips			PATO_0000141	structure			
Castro_Vari_2004.xml	20	Mode of attachment of teeth on upper and lower jaws	0	teeth directly implanted on dentary and premaxilla			PATO_0000141	structure			
Castro_Vari_2004.xml	21	Arrangement of tooth rows in upper and lower jaws	1	two tooth rows distinctly separated anteriorly, with inner row in curved series approaching outer row of teeth posterolaterally			PATO_0000140	position			
Castro_Vari_2004.xml	21	Arrangement of tooth rows in upper and lower jaws	0	tooth rows, when more than one row of teeth present, run approximately in parallel			PATO_0000140	position			
Castro_Vari_2004.xml	22	Numbers of teeth in inner tooth rows on each side of the upper and lower jaws	1	8 to 47 teeth in upper jaw and 4 to 18 in lower jaw			PATO_0000070	count			
Castro_Vari_2004.xml	22	Numbers of teeth in inner tooth rows on each side of the upper and lower jaws	2	50-76 teeth in upper jaw and 20 to 70 in lower jaw			PATO_0000070	count			
Castro_Vari_2004.xml	22	Numbers of teeth in inner tooth rows on each side of the upper and lower jaws	0	0 to 7 teeth in each jaw			PATO_0000070	count			
Castro_Vari_2004.xml	23	Number of replacement tooth rows	1	2 to 22			PATO_0000070	count			
Castro_Vari_2004.xml	23	Number of replacement tooth rows	0	1			PATO_0000070	count			
Castro_Vari_2004.xml	24	Form of jaw teeth	1	Teeth elongate, curved or falcate, with distinct orientation towards the bucco-pharyngeal cavity			PATO_0000052	shape			
Castro_Vari_2004.xml	24	Form of jaw teeth	0	Not as in state 1			PATO_0000052	shape			
Castro_Vari_2004.xml	25	Form of lips	1	lips enlarged and developed into fleshy pads broadly in contact posteriorly to form oral disk, with attachment of lower lip distinctly medial of lateral margin of lower jaw			PATO_0000052	shape			
Castro_Vari_2004.xml	25	Form of lips	0	lips effectively absent to slightly fleshy, not broadly in contact posteriorly, and with lower lip directly attached to lateral margin of lower jaw			PATO_0000052	shape			
Castro_Vari_2004.xml	26	Laterally positioned, ledge-shaped process formed by connective tissue under margin of lower lip	1	present			PATO_0000467	present			
Castro_Vari_2004.xml	26	Laterally positioned, ledge-shaped process formed by connective tissue under margin of lower lip	0	absent			PATO_0000462	absent			
Castro_Vari_2004.xml	27	Relative size of fleshy lips	1	upper lip very large and distinctly overlapping lower lip			PATO_0000052	shape			
Castro_Vari_2004.xml	27	Relative size of fleshy lips	0	upper and lower jaws about equally developed			PATO_0000052	shape			
Castro_Vari_2004.xml	28	Position of the maxilla	0	lateral surface of maxilla approximately in same parasagittal plane as first infraorbital with little overlap of maxilla by first infraorbital and with the posterior portion of the maxilla situated proximate to the lateral margin of the anteroventral wing of the lateral ethmoid	UBERON_0002397	maxilla	PATO_0000140	position	UBERON_2000223	infraorbital 1	
Castro_Vari_2004.xml	28	Position of the maxilla	1	lateral surface of the maxilla mostly overlapped by first infraorbital in closed mouth with posterior portion of maxilla situated proximate to anteromedial surface of ventral wing of lateral ethmoid	UBERON_0002397	maxilla	PATO_0000140	position	UBERON_2000223	infraorbital 1	
Castro_Vari_2004.xml	29	Form of junction between premaxilla and mesethmoid and degree of mobility between those elements	1	premaxilla somewhat loosely joined to mesethmoid, with resultant degree of anterior-posterior motion of premaxilla along anterolateral surface of mesethmoid	UBERON_0002244	premaxilla	PATO_0000141	structure	UBERON_0011238	mesethmoid bone	
Castro_Vari_2004.xml	29	Form of junction between premaxilla and mesethmoid and degree of mobility between those elements	0	premaxilla relatively tightly joined to the mesethmoid, with premaxilla hinged on mesethmoid	UBERON_0002244	premaxilla	PATO_0000141	structure	UBERON_0011238	mesethmoid bone	
Castro_Vari_2004.xml	31	Overall form of the premaxilla	1	premaxilla with anteromedial portion restructured into twisting structure and posterior region distinctly laterally convex in cross section, with medial portions of contralateral premaxillae shifted to ventral of anterior articular portion of mesethmoid	UBERON_0002244	premaxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	31	Overall form of the premaxilla	0	premaxilla gently curved overall and relatively flat posteriorly, with medial portions of contralateral premaxillae in near contact anterior to the mesethmoid	UBERON_0002244	premaxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	32	Vertical extent of posterior portion of premaxilla and form of contact between premaxilla and maxilla	1	posterior portion of premaxilla vertically expanded and with distinct posterodorsal articular surface in area of contact with maxilla	UBERON_0002244	premaxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	32	Vertical extent of posterior portion of premaxilla and form of contact between premaxilla and maxilla	1	posterior portion of premaxilla vertically expanded and with distinct posterodorsal articular surface in area of contact with maxilla	UBERON_0002244	premaxilla	PATO_0000141	structure	UBERON_0002397	maxilla	
Castro_Vari_2004.xml	32	Vertical extent of posterior portion of premaxilla and form of contact between premaxilla and maxilla	0	posterior portion of premaxilla moderately high and without distinct articular surface in area of contact with maxilla	UBERON_0002244	premaxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	32	Vertical extent of posterior portion of premaxilla and form of contact between premaxilla and maxilla	0	posterior portion of premaxilla moderately high and without distinct articular surface in area of contact with maxilla	UBERON_0002244	premaxilla	PATO_0000141	structure	UBERON_0002397	maxilla	
Castro_Vari_2004.xml	33	Form of anteroventral margin and medial surface of premaxilla	0	anteroventral margin smooth and without distinct process on inner surface	UBERON_0002244	premaxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	33	Form of anteroventral margin and medial surface of premaxilla	1	anteroventral margin rotated anteriorly to form process in form somewhat resembling a hat brim and with distinct ridge on inner surface of bone	UBERON_0002244	premaxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	34	Ligament that extends between posteromedial surface of anteroventral process of premaxilla and posterior portion of premaxilla	0	absent			PATO_0000462	absent			
Castro_Vari_2004.xml	34	Ligament that extends between posteromedial surface of anteroventral process of premaxilla and posterior portion of premaxilla	1	present			PATO_0000467	present			
Castro_Vari_2004.xml	35	Overall form of maxilla	1	maxilla distinctly laterally convex both longitudinally and vertically, with posterior portion consequently helmet-shaped from lateral view	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	35	Overall form of maxilla	0	maxilla relatively flat to slightly convex	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	36	Posterior portion of maxilla	1	distinctly thickened and with dorsal and ventral extensions	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	36	Posterior portion of maxilla	0	not thickened and without dorsal and ventral extensions	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	37	Overall form of distal portion of maxilla	1	maxilla restructured into posteroventrally angled structure with distinct point and shift anteriorly of dorsal process that caps thickened posterior portion of bone	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	37	Overall form of distal portion of maxilla	0	not as in State 1	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	38	Series of foramina through posterior portion of maxilla	1	present			PATO_0000467	present			
Castro_Vari_2004.xml	38	Series of foramina through posterior portion of maxilla	0	absent			PATO_0000462	absent			
Castro_Vari_2004.xml	39	Relative size of the foramina through posterior portion of maxilla	1	large			PATO_0000117	size			
Castro_Vari_2004.xml	39	Relative size of the foramina through posterior portion of maxilla	0	small			PATO_0000117	size			
Castro_Vari_2004.xml	40	Foramen through maxilla in region slightly posterior of where rear margin of premaxilla extends over maxilla	0	absent			PATO_0000462	absent			
Castro_Vari_2004.xml	40	Foramen through maxilla in region slightly posterior of where rear margin of premaxilla extends over maxilla	1	present			PATO_0000467	present			
Castro_Vari_2004.xml	41	Attachment area of primordial ligament on maxilla	1	on distal tip of highly developed process that extends distinctly beyond margin of anterior portion of maxilla			PATO_0000141	structure			
Castro_Vari_2004.xml	41	Attachment area of primordial ligament on maxilla	0	on main body of bone			PATO_0000141	structure			
Castro_Vari_2004.xml	42	Morphology of area of process on the maxilla onto which primordial ligament attaches	1	with posterior extension of main body of process	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	42	Morphology of area of process on the maxilla onto which primordial ligament attaches	0	not as in State 1	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	43	Ridge on anterodorsal margin of triangular process onto which primordial ligament attaches	0	not present			PATO_0000462	absent			
Castro_Vari_2004.xml	43	Ridge on anterodorsal margin of triangular process onto which primordial ligament attaches	1	present and only moderately developed dorsally			PATO_0000467	present			
Castro_Vari_2004.xml	43	Ridge on anterodorsal margin of triangular process onto which primordial ligament attaches	1	present and only moderately developed dorsally			PATO_0000117	size			
Castro_Vari_2004.xml	43	Ridge on anterodorsal margin of triangular process onto which primordial ligament attaches	2	present and well developed dorsally			PATO_0000467	present			
Castro_Vari_2004.xml	43	Ridge on anterodorsal margin of triangular process onto which primordial ligament attaches	2	present and well developed dorsally			PATO_0000117	size			
Castro_Vari_2004.xml	45	Form of dorsal margin of maxilla	0	relatively smooth and without distinct process	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	45	Form of dorsal margin of maxilla	1	with distinct process that serves as attachment area for connective tissue bands	UBERON_0002397	maxilla	PATO_0000052	shape			
Castro_Vari_2004.xml	46	Form of ascending process of maxilla	0	relatively straight	UBERON_2001603	maxilla ascending process	PATO_0000052	shape			
Castro_Vari_2004.xml	46	Form of ascending process of maxilla	1	somewhat laterally bent	UBERON_2001603	maxilla ascending process	PATO_0000052	shape			
Castro_Vari_2004.xml	47	Form of dentary and dentary tooth replacement trench	0	dentary not foreshortened and dentary replacement trench either absent or, if present, trench narrow and contralateral trenches not continuous across symphysis	UBERON_0004742	dentary	PATO_0000052	shape			
Castro_Vari_2004.xml	47	Form of dentary and dentary tooth replacement trench	1	dentary foreshortened and dentary replacement tooth trench broad but with contralateral trenches continuous across symphysis only to limited degree	UBERON_0004742	dentary	PATO_0000052	shape			
Castro_Vari_2004.xml	47	Form of dentary and dentary tooth replacement trench	2	dentary foreshortened and dentary replacement tooth trench very broad, with contralateral trenches almost completely continuous across symphysis	UBERON_0004742	dentary	PATO_0000052	shape			
Castro_Vari_2004.xml	51	Orientation of process of dentary that extends along ventral surface of retroarticular	1	medially oriented			PATO_0000140	position			
Castro_Vari_2004.xml	51	Orientation of process of dentary that extends along ventral surface of retroarticular	0	posteriorly directed			PATO_0000140	position			
Castro_Vari_2004.xml	55	Form of the coronomeckelian bone	1	distinctly concave from medial view and positioned in depression on medial surface of dentary and angulo-articular and with ventral articular surface that contacts dorsal surface of dorsally directed medial process on dentary	UBERON_2001274	coronomeckelian	PATO_0000052	shape			
Castro_Vari_2004.xml	55	Form of the coronomeckelian bone	0	not as in State 1	UBERON_2001274	coronomeckelian	PATO_0000052	shape			
Castro_Vari_2004.xml	56	Alignment of laterosensory canal segment in angulo-articular	0	longitudinally aligned and continues along axis of laterosensory canal segment in dentary			PATO_0000140	position			
Castro_Vari_2004.xml	56	Alignment of laterosensory canal segment in angulo-articular	1	anterodorsally aligned and at distinct angle to axis of laterosensory canal segment in dentary			PATO_0000140	position			
Castro_Vari_2004.xml	57	Association of dorsal portion of angulo-articular and adjoining surface of dentary	1	dorsal portion of angulo-articular separate from adjoining portion of dentary, with intervening space occupied by dense connective tissue mass	UBERON_0004744	articular/anguloarticular	PATO_0000141	structure	UBERON_0004742	dentary	
Castro_Vari_2004.xml	57	Association of dorsal portion of angulo-articular and adjoining surface of dentary	0	dorsal portion of angulo-articular in close contact with dentary	UBERON_0004744	articular/anguloarticular	PATO_0000141	structure	UBERON_0004742	dentary	
Castro_Vari_2004.xml	58	Large foramen in angulo-articular anterodorsal of articular facet	1	present			PATO_0000467	present			
Castro_Vari_2004.xml	58	Large foramen in angulo-articular anterodorsal of articular facet	0	absent			PATO_0000462	absent			
Castro_Vari_2004.xml	59	Form and position of retroarticular	1	proportionally relatively small with laterally concave form and positioned on anteromedial surface of angulo- articular	UBERON_2000422	retroarticular	PATO_0000140	position			
Castro_Vari_2004.xml	59	Form and position of retroarticular	1	proportionally relatively small with laterally concave form and positioned on anteromedial surface of angulo- articular	UBERON_2000422	retroarticular	PATO_0000052	shape			
Castro_Vari_2004.xml	59	Form and position of retroarticular	0	proportionally moderate in size, with laterally flat or slightly convex form and positioned on ventrolateral region of anguloarticular	UBERON_2000422	retroarticular	PATO_0000052	shape			
Castro_Vari_2004.xml	59	Form and position of retroarticular	0	proportionally moderate in size, with laterally flat or slightly convex form and positioned on ventrolateral region of anguloarticular	UBERON_2000422	retroarticular	PATO_0000140	position			
Castro_Vari_2004.xml	60	Association of retroarticular with anguloarticular	1	retroarticular very tightly associated with angulo-articular, with boundaries of retroarticular difficult to discern	UBERON_2000422	retroarticular	PATO_0000141	structure	UBERON_0004744	articular/anguloarticular	
